Question,Question Type,QID,Answer,Title,EM,F1,Question Words,Answer Words,Question Length,Answer Length
What is an example of high-risk behaviors?,What,124,sharing needles,Recommendations,1,1.0,"['What', 'is', 'an', 'example', 'of', 'high', '-', 'risk', 'behaviors', '?']","['sharing', 'needles']",10,2
What should the clinicians do for patients who decline MAT for OUD?,What,125,"educating the patient regarding sterile injection techniques and community based needle exchange programs, if programs are available",Recommendations,0,0.9696969696969697,"['What', 'should', 'the', 'clinicians', 'do', 'for', 'patients', 'who', 'decline', 'MAT', 'for', 'OUD', '?']","['educating', 'the', 'patient', 'regarding', 'sterile', 'injection', 'techniques', 'and', 'community', 'based', 'needle', 'exchange', 'programs', ',', 'if', 'programs', 'are', 'available']",13,18
What is the first recommendation for patients who develop OUD and progress to intravenous drug use?,What,126,medication assisted treatment (MAT) for OUD,Recommendations,1,1.0,"['What', 'is', 'the', 'first', 'recommendation', 'for', 'patients', 'who', 'develop', 'OUD', 'and', 'progress', 'to', 'intravenous', 'drug', 'use', '?']","['medication', 'assisted', 'treatment', '(', 'MAT', ')', 'for', 'OUD']",17,8
What is accompanied by an increased rate of the human immunodeficiency virus (HIV) and hepatitis infection?,What,128,Illicit use of injectable opioids,Recommendations,1,1.0,"['What', 'is', 'accompanied', 'by', 'an', 'increased', 'rate', 'of', 'the', 'human', 'immunodeficiency', 'virus', '(', 'HIV', ')', 'and', 'hepatitis', 'infection', '?']","['Illicit', 'use', 'of', 'injectable', 'opioids']",19,5
What often far outweighs the potential benefits?,What,130,"the harms due to the potential for severe adverse events associated with opioids, particularly overdose and OUD",Recommendations,1,1.0,"['What', 'often', 'far', 'outweighs', 'the', 'potential', 'benefits', '?']","['the', 'harms', 'due', 'to', 'the', 'potential', 'for', 'severe', 'adverse', 'events', 'associated', 'with', 'opioids', ',', 'particularly', 'overdose', 'and', 'OUD']",8,18
What contributed to strong recommendations in multiple instances?,What,131,these factors,Recommendations,0,0.0,"['What', 'contributed', 'to', 'strong', 'recommendations', 'in', 'multiple', 'instances', '?']","['these', 'factors']",9,2
What were the goals of President’s National Drug Control strategy in 2010?,What,132,curtailing illicit drug consumption in America and improving the health and safety of the American people by reducing the consequences of drug abuse,Background,1,1.0,"['What', 'were', 'the', 'goals', 'of', 'President', '’s', 'National', 'Drug', 'Control', 'strategy', 'in', '2010', '?']","['curtailing', 'illicit', 'drug', 'consumption', 'in', 'America', 'and', 'improving', 'the', 'health', 'and', 'safety', 'of', 'the', 'American', 'people', 'by', 'reducing', 'the', 'consequences', 'of', 'drug', 'abuse']",14,23
What accompanied the 2015 National Drug Control strategy?,What,133,presidential memorandum on preventing prescription drug abuse and heroin use,Background,1,1.0,"['What', 'accompanied', 'the', '2015', 'National', 'Drug', 'Control', 'strategy', '?']","['presidential', 'memorandum', 'on', 'preventing', 'prescription', 'drug', 'abuse', 'and', 'heroin', 'use']",9,10
Which health issue has been identified as an epidemic?,Which,135,The increasing use of opioids,Background,1,1.0,"['Which', 'health', 'issue', 'has', 'been', 'identified', 'as', 'an', 'epidemic', '?']","['The', 'increasing', 'use', 'of', 'opioids']",10,5
What has accumulated growing attention from federal and local officials as well as other policymakers?,What,136,"The increasing use of opioids, as well as the accompanying rise in morbidity and mortality associated with opioid use",Background,1,1.0,"['What', 'has', 'accumulated', 'growing', 'attention', 'from', 'federal', 'and', 'local', 'officials', 'as', 'well', 'as', 'other', 'policymakers', '?']","['The', 'increasing', 'use', 'of', 'opioids', ',', 'as', 'well', 'as', 'the', 'accompanying', 'rise', 'in', 'morbidity', 'and', 'mortality', 'associated', 'with', 'opioid', 'use']",16,20
How did the 2015 National Drug Control strategy and an accompanying presidential memorandum encourage the improvement of health and safety using evidence-based methods regarding SUD treatments?,How,137,"by calling for change in a number of key areas including preventing drug use in communities, seeking early intervention opportunities, and integrating SUD treatment and supporting recovery",Background,1,1.0,"['How', 'did', 'the', '2015', 'National', 'Drug', 'Control', 'strategy', 'and', 'an', 'accompanying', 'presidential', 'memorandum', 'encourage', 'the', 'improvement', 'of', 'health', 'and', 'safety', 'using', 'evidence', '-', 'based', 'methods', 'regarding', 'SUD', 'treatments', '?']","['by', 'calling', 'for', 'change', 'in', 'a', 'number', 'of', 'key', 'areas', 'including', 'preventing', 'drug', 'use', 'in', 'communities', ',', 'seeking', 'early', 'intervention', 'opportunities', ',', 'and', 'integrating', 'SUD', 'treatment', 'and', 'supporting', 'recovery']",29,29
When was the 2015 National Drug Control strategy released?,When,138,October 2015,Background,1,1.0,"['When', 'was', 'the', '2015', 'National', 'Drug', 'Control', 'strategy', 'released', '?']","['October', '2015']",10,2
What is the stance regarding long-term opioid therapy for patients less than 30 years of age  secondary to higher risk of opioid use disorder and overdose?,What,139,recommend against,Recommendations,1,1.0,"['What', 'is', 'the', 'stance', 'regarding', 'long', '-', 'term', 'opioid', 'therapy', 'for', 'patients', 'less', 'than', '30', 'years', 'of', 'age', ' ', 'secondary', 'to', 'higher', 'risk', 'of', 'opioid', 'use', 'disorder', 'and', 'overdose', '?']","['recommend', 'against']",30,2
What is recommended for patients less than 30 years of age currently on long-term opioid therapy?,What,140,close monitoring and consideration for tapering when risks exceed benefits,Recommendations,1,1.0,"['What', 'is', 'recommended', 'for', 'patients', 'less', 'than', '30', 'years', 'of', 'age', 'currently', 'on', 'long', '-', 'term', 'opioid', 'therapy', '?']","['close', 'monitoring', 'and', 'consideration', 'for', 'tapering', 'when', 'risks', 'exceed', 'benefits']",19,10
"When reducing 33% of morphine SR 90 mg Q8h = 270 MEDD on day 1, what dose should be taken on day eight of the rapid opioid tapering?",When,141,15 mg SR QHS,Specifications,1,1.0,"['When', 'reducing', '33', '%', 'of', 'morphine', 'SR', '90', 'mg', 'Q8h', '=', '270', 'MEDD', 'on', 'day', '1', ',', 'what', 'dose', 'should', 'be', 'taken', 'on', 'day', 'eight', 'of', 'the', 'rapid', 'opioid', 'tapering', '?']","['15', 'mg', 'SR', 'QHS']",31,4
"When reducing 33% of morphine SR 90 mg Q8h = 270 MEDD on day 1, what dose should be taken on day seven of the rapid opioid tapering?",When,142,15 mg SR Q12h,Specifications,1,1.0,"['When', 'reducing', '33', '%', 'of', 'morphine', 'SR', '90', 'mg', 'Q8h', '=', '270', 'MEDD', 'on', 'day', '1', ',', 'what', 'dose', 'should', 'be', 'taken', 'on', 'day', 'seven', 'of', 'the', 'rapid', 'opioid', 'tapering', '?']","['15', 'mg', 'SR', 'Q12h']",31,4
When to take individualized decisions about which formulation to be tapered first?,When,143,If patients are prescribed both long-acting and short-acting opioids,Specifications,1,1.0,"['When', 'to', 'take', 'individualized', 'decisions', 'about', 'which', 'formulation', 'to', 'be', 'tapered', 'first', '?']","['If', 'patients', 'are', 'prescribed', 'both', 'long', '-', 'acting', 'and', 'short', '-', 'acting', 'opioids']",13,13
"When reducing 33% of morphine SR 90 mg Q8h = 270 MEDD on day 1, what dose should be taken on day ten of the rapid opioid tapering?",When,144,15 mg SR QHS,Specifications,0,0.5,"['When', 'reducing', '33', '%', 'of', 'morphine', 'SR', '90', 'mg', 'Q8h', '=', '270', 'MEDD', 'on', 'day', '1', ',', 'what', 'dose', 'should', 'be', 'taken', 'on', 'day', 'ten', 'of', 'the', 'rapid', 'opioid', 'tapering', '?']","['15', 'mg', 'SR', 'QHS']",31,4
"When reducing 33% of morphine SR 90 mg Q8h = 270 MEDD on day 1, what dose should be taken on day nine of the rapid opioid tapering?",When,145,15 mg SR QHS,Specifications,1,1.0,"['When', 'reducing', '33', '%', 'of', 'morphine', 'SR', '90', 'mg', 'Q8h', '=', '270', 'MEDD', 'on', 'day', '1', ',', 'what', 'dose', 'should', 'be', 'taken', 'on', 'day', 'nine', 'of', 'the', 'rapid', 'opioid', 'tapering', '?']","['15', 'mg', 'SR', 'QHS']",31,4
What may need to be considered during rapid tapers?,What,146,admitting the patient for inpatient care,Specifications,1,1.0,"['What', 'may', 'need', 'to', 'be', 'considered', 'during', 'rapid', 'tapers', '?']","['admitting', 'the', 'patient', 'for', 'inpatient', 'care']",10,6
"When reducing 33% of morphine SR 90 mg Q8h = 270 MEDD on day 1, what dose should be taken on day six of the rapid opioid tapering?",When,147,15 mg SR Q12h,Specifications,0,0.75,"['When', 'reducing', '33', '%', 'of', 'morphine', 'SR', '90', 'mg', 'Q8h', '=', '270', 'MEDD', 'on', 'day', '1', ',', 'what', 'dose', 'should', 'be', 'taken', 'on', 'day', 'six', 'of', 'the', 'rapid', 'opioid', 'tapering', '?']","['15', 'mg', 'SR', 'Q12h']",31,4
"When reducing 33% of morphine SR 90 mg Q8h = 270 MEDD on day 1, what dose should be taken on day three of the rapid opioid tapering?",When,149,30 mg SR (15 mg x 2) Q8h,Specifications,1,1.0,"['When', 'reducing', '33', '%', 'of', 'morphine', 'SR', '90', 'mg', 'Q8h', '=', '270', 'MEDD', 'on', 'day', '1', ',', 'what', 'dose', 'should', 'be', 'taken', 'on', 'day', 'three', 'of', 'the', 'rapid', 'opioid', 'tapering', '?']","['30', 'mg', 'SR', '(', '15', 'mg', 'x', '2', ')', 'Q8h']",31,10
Which taper can cause withdrawal effects?,Which,150,Rapid tapers,Specifications,1,1.0,"['Which', 'taper', 'can', 'cause', 'withdrawal', 'effects', '?']","['Rapid', 'tapers']",7,2
What can be caused by rapid taper?,What,151,withdrawal effects,Specifications,1,1.0,"['What', 'can', 'be', 'caused', 'by', 'rapid', 'taper', '?']","['withdrawal', 'effects']",8,2
When to stop rapid tapering?,When,152,after day 11,Specifications,1,1.0,"['When', 'to', 'stop', 'rapid', 'tapering', '?']","['after', 'day', '11']",6,3
"When reducing 33% of morphine SR 90 mg Q8h = 270 MEDD on day 1, what dose should be taken on day eleven of the rapid opioid tapering?",When,153,15 mg SR QHS,Specifications,1,1.0,"['When', 'reducing', '33', '%', 'of', 'morphine', 'SR', '90', 'mg', 'Q8h', '=', '270', 'MEDD', 'on', 'day', '1', ',', 'what', 'dose', 'should', 'be', 'taken', 'on', 'day', 'eleven', 'of', 'the', 'rapid', 'opioid', 'tapering', '?']","['15', 'mg', 'SR', 'QHS']",31,4
How much opioid to reduce in the rapid taper?,How,154,"by 20 to 50% of first dose if needed, then reduce by 10 to 20% every day",Specifications,0,0.9696969696969697,"['How', 'much', 'opioid', 'to', 'reduce', 'in', 'the', 'rapid', 'taper', '?']","['by', '20', 'to', '50', '%', 'of', 'first', 'dose', 'if', 'needed', ',', 'then', 'reduce', 'by', '10', 'to', '20', '%', 'every', 'day']",10,20
How to minimize withdrawal effects in patients caused by rapid tapers?,How,155,patients should be treated with adjunctive medications,Specifications,1,1.0,"['How', 'to', 'minimize', 'withdrawal', 'effects', 'in', 'patients', 'caused', 'by', 'rapid', 'tapers', '?']","['patients', 'should', 'be', 'treated', 'with', 'adjunctive', 'medications']",12,7
"When reducing 33% of morphine SR 90 mg Q8h = 270 MEDD on day 1, what dose should be taken on day five of the rapid opioid tapering?",When,157,15 mg SR Q12h,Specifications,1,1.0,"['When', 'reducing', '33', '%', 'of', 'morphine', 'SR', '90', 'mg', 'Q8h', '=', '270', 'MEDD', 'on', 'day', '1', ',', 'what', 'dose', 'should', 'be', 'taken', 'on', 'day', 'five', 'of', 'the', 'rapid', 'opioid', 'tapering', '?']","['15', 'mg', 'SR', 'Q12h']",31,4
"When reducing 33% of morphine SR 90 mg Q8h = 270 MEDD on day 1, what dose should be taken on day two of the rapid opioid tapering?",When,158,45 mg SR (15 mg x 3) Q8h,Specifications,1,1.0,"['When', 'reducing', '33', '%', 'of', 'morphine', 'SR', '90', 'mg', 'Q8h', '=', '270', 'MEDD', 'on', 'day', '1', ',', 'what', 'dose', 'should', 'be', 'taken', 'on', 'day', 'two', 'of', 'the', 'rapid', 'opioid', 'tapering', '?']","['45', 'mg', 'SR', '(', '15', 'mg', 'x', '3', ')', 'Q8h']",31,10
What may be considered after stopping rapid tapering after day 11?,What,159,morphine IR 15 mg ½ tablet (7.5 mg) twice daily,Specifications,1,1.0,"['What', 'may', 'be', 'considered', 'after', 'stopping', 'rapid', 'tapering', 'after', 'day', '11', '?']","['morphine', 'IR', '15', 'mg', '½', 'tablet', '(', '7.5', 'mg', ')', 'twice', 'daily']",12,12
"When reducing 33% of morphine SR 90 mg Q8h = 270 MEDD on day 1, what dose should be taken on day four of the rapid opioid tapering?",When,160,15 mg SR Q8h,Specifications,1,1.0,"['When', 'reducing', '33', '%', 'of', 'morphine', 'SR', '90', 'mg', 'Q8h', '=', '270', 'MEDD', 'on', 'day', '1', ',', 'what', 'dose', 'should', 'be', 'taken', 'on', 'day', 'four', 'of', 'the', 'rapid', 'opioid', 'tapering', '?']","['15', 'mg', 'SR', 'Q8h']",31,4
How long does the rapid taper take?,How,161,over days,Specifications,1,1.0,"['How', 'long', 'does', 'the', 'rapid', 'taper', 'take', '?']","['over', 'days']",8,2
When to administer Naloxone?,When,163,as a life saving measure following opioid overdose,Recommendations,0,0.6,"['When', 'to', 'administer', 'Naloxone', '?']","['as', 'a', 'life', 'saving', 'measure', 'following', 'opioid', 'overdose']",5,8
What has reduced opioid-related emergency department visits?,What,164,prescription of naloxone rescue and accompanying education,Recommendations,1,1.0,"['What', 'has', 'reduced', 'opioid', '-', 'related', 'emergency', 'department', 'visits', '?']","['prescription', 'of', 'naloxone', 'rescue', 'and', 'accompanying', 'education']",10,7
What is a life-saving measure following opioid overdose?,What,165,Naloxone administration,Recommendations,1,1.0,"['What', 'is', 'a', 'life', '-', 'saving', 'measure', 'following', 'opioid', 'overdose', '?']","['Naloxone', 'administration']",11,2
Who facilitates the distribution of naloxone for the reversal?,Who,168,the VA via Pharmacy Benefits Management,Recommendations,0,0.9090909090909091,"['Who', 'facilitates', 'the', 'distribution', 'of', 'naloxone', 'for', 'the', 'reversal', '?']","['the', 'VA', 'via', 'Pharmacy', 'Benefits', 'Management']",10,6
Who supports the distribution of naloxone for the reversal?,Who,169,"SAMHSA, the American Medical Association (AMA), and other medical societies",Recommendations,1,1.0,"['Who', 'supports', 'the', 'distribution', 'of', 'naloxone', 'for', 'the', 'reversal', '?']","['SAMHSA', ',', 'the', 'American', 'Medical', 'Association', '(', 'AMA', ')', ',', 'and', 'other', 'medical', 'societies']",10,14
What does the U.S. Department of Health and Human Services (HHS) National Pain Strategy  (March 2016) recommend?,What,171,a biopsychosocial approach to pain care that is multimodal and  interdisciplinary,Recommendations,1,1.0,"['What', 'does', 'the', 'U.S.', 'Department', 'of', 'Health', 'and', 'Human', 'Services', '(', 'HHS', ')', 'National', 'Pain', 'Strategy', ' ', '(', 'March', '2016', ')', 'recommend', '?']","['a', 'biopsychosocial', 'approach', 'to', 'pain', 'care', 'that', 'is', 'multimodal', 'and', ' ', 'interdisciplinary']",23,12
"What was the impact of the report on the state of pain research, treatment, and  education in the U.S. by the National Academy of Medicine in 2011?",What,172,The report called for a cultural transformation in the way pain is viewed and  treated.,Recommendations,1,1.0,"['What', 'was', 'the', 'impact', 'of', 'the', 'report', 'on', 'the', 'state', 'of', 'pain', 'research', ',', 'treatment', ',', 'and', ' ', 'education', 'in', 'the', 'U.S.', 'by', 'the', 'National', 'Academy', 'of', 'Medicine', 'in', '2011', '?']","['The', 'report', 'called', 'for', 'a', 'cultural', 'transformation', 'in', 'the', 'way', 'pain', 'is', 'viewed', 'and', ' ', 'treated', '.']",31,17
"Why did the National Academy of Medicine investigated and reported on the state of pain research, treatment, and  education in the U.S. in 2011?",Why,173,in response to the recognition of pain and its management as a public health problem,Recommendations,1,1.0,"['Why', 'did', 'the', 'National', 'Academy', 'of', 'Medicine', 'investigated', 'and', 'reported', 'on', 'the', 'state', 'of', 'pain', 'research', ',', 'treatment', ',', 'and', ' ', 'education', 'in', 'the', 'U.S.', 'in', '2011', '?']","['in', 'response', 'to', 'the', 'recognition', 'of', 'pain', 'and', 'its', 'management', 'as', 'a', 'public', 'health', 'problem']",28,15
Who does recommend a biopsychosocial approach to pain care that is multimodal and interdisciplinary?,Who,174,the U.S. Department of Health and Human Services (HHS) National Pain Strategy  (March 2016),Recommendations,0,0.9166666666666666,"['Who', 'does', 'recommend', 'a', 'biopsychosocial', 'approach', 'to', 'pain', 'care', 'that', 'is', 'multimodal', 'and', 'interdisciplinary', '?']","['the', 'U.S.', 'Department', 'of', 'Health', 'and', 'Human', 'Services', '(', 'HHS', ')', 'National', 'Pain', 'Strategy', ' ', '(', 'March', '2016', ')']",15,19
What are included in the underlying concepts of the biopsychosocial model of pain?,What,176,"pain perception and its effects on the patient’s function is mediated by multiple factors (e.g., mood, social  support, prior experience, biomechanical factors), not just biology alone",Recommendations,0,0.6842105263157895,"['What', 'are', 'included', 'in', 'the', 'underlying', 'concepts', 'of', 'the', 'biopsychosocial', 'model', 'of', 'pain', '?']","['pain', 'perception', 'and', 'its', 'effects', 'on', 'the', 'patient', '’s', 'function', 'is', 'mediated', 'by', 'multiple', 'factors', '(', 'e.g.', ',', 'mood', ',', 'social', ' ', 'support', ',', 'prior', 'experience', ',', 'biomechanical', 'factors', ')', ',', 'not', 'just', 'biology', 'alone']",14,35
What is recommended for patients currently on long-term opioid therapy with evidence of untreated substance use  disorder?,What,178,"close monitoring, including engagement in substance use disorder treatment, and discontinuation of opioid therapy for pain with appropriate tapering",Recommendations,1,1.0,"['What', 'is', 'recommended', 'for', 'patients', 'currently', 'on', 'long', '-', 'term', 'opioid', 'therapy', 'with', 'evidence', 'of', 'untreated', 'substance', 'use', ' ', 'disorder', '?']","['close', 'monitoring', ',', 'including', 'engagement', 'in', 'substance', 'use', 'disorder', 'treatment', ',', 'and', 'discontinuation', 'of', 'opioid', 'therapy', 'for', 'pain', 'with', 'appropriate', 'tapering']",21,21
What is the stance regarding long-term opioid therapy for pain in patients with untreated substance use disorder?,What,179,recommend against,Recommendations,1,1.0,"['What', 'is', 'the', 'stance', 'regarding', 'long', '-', 'term', 'opioid', 'therapy', 'for', 'pain', 'in', 'patients', 'with', 'untreated', 'substance', 'use', 'disorder', '?']","['recommend', 'against']",20,2
Which concerns need to be addressed at the time of opioid tapering?,Which,180,"concerns that may negatively impact taper (e.g., inability for adequate follow-up, inability to provide adequate treatment for co-occurring medical and mental health conditions and SUD)",Algorithm,0,0.3870967741935484,"['Which', 'concerns', 'need', 'to', 'be', 'addressed', 'at', 'the', 'time', 'of', 'opioid', 'tapering', '?']","['concerns', 'that', 'may', 'negatively', 'impact', 'taper', '(', 'e.g.', ',', 'inability', 'for', 'adequate', 'follow', '-', 'up', ',', 'inability', 'to', 'provide', 'adequate', 'treatment', 'for', 'co', '-', 'occurring', 'medical', 'and', 'mental', 'health', 'conditions', 'and', 'SUD', ')']",13,33
"When safety allows, what are the advantages of a gradual taper?",When,181,"a gradual taper rate (5-10% reduction every 4 weeks) allows time for neurobiological, psychological, and behavioral adaptations",Algorithm,0,0.6086956521739131,"['When', 'safety', 'allows', ',', 'what', 'are', 'the', 'advantages', 'of', 'a', 'gradual', 'taper', '?']","['a', 'gradual', 'taper', 'rate', '(', '5', '-', '10', '%', 'reduction', 'every', '4', 'weeks', ')', 'allows', 'time', 'for', 'neurobiological', ',', 'psychological', ',', 'and', 'behavioral', 'adaptations']",13,24
What is the rate of a gradual taper?,What,182,5-10% reduction every 4 weeks,Algorithm,1,1.0,"['What', 'is', 'the', 'rate', 'of', 'a', 'gradual', 'taper', '?']","['5', '-', '10', '%', 'reduction', 'every', '4', 'weeks']",9,8
What maybe included in interdisciplinary services?,What,183,"mental health, SUD, primary care, and specialty pain care",Algorithm,1,1.0,"['What', 'maybe', 'included', 'in', 'interdisciplinary', 'services', '?']","['mental', 'health', ',', 'SUD', ',', 'primary', 'care', ',', 'and', 'specialty', 'pain', 'care']",7,12
What does a gradual taper rate allow?,What,184,"time for neurobiological, psychological, and behavioral adaptations",Algorithm,1,1.0,"['What', 'does', 'a', 'gradual', 'taper', 'rate', 'allow', '?']","['time', 'for', 'neurobiological', ',', 'psychological', ',', 'and', 'behavioral', 'adaptations']",8,9
What to do when there are concerns regarding risks of tapering?,What,185,"consider interdisciplinary services that may include mental health, SUD, primary care, and specialty pain care",Algorithm,1,1.0,"['What', 'to', 'do', 'when', 'there', 'are', 'concerns', 'regarding', 'risks', 'of', 'tapering', '?']","['consider', 'interdisciplinary', 'services', 'that', 'may', 'include', 'mental', 'health', ',', 'SUD', ',', 'primary', 'care', ',', 'and', 'specialty', 'pain', 'care']",12,18
Which patient and treatment characteristics should be considered when determining tapering strategy?,Which,186,"opioid dose, duration of therapy, type of opioid formulation, psychiatric, medical and SUD comorbidities and other patient risk factors (e.g., non-adherence, high-risk medication-related behavior, strength of social support, and coping)",Algorithm,0,0.06451612903225806,"['Which', 'patient', 'and', 'treatment', 'characteristics', 'should', 'be', 'considered', 'when', 'determining', 'tapering', 'strategy', '?']","['opioid', 'dose', ',', 'duration', 'of', 'therapy', ',', 'type', 'of', 'opioid', 'formulation', ',', 'psychiatric', ',', 'medical', 'and', 'SUD', 'comorbidities', 'and', 'other', 'patient', 'risk', 'factors', '(', 'e.g.', ',', 'non', '-', 'adherence', ',', 'high', '-', 'risk', 'medication', '-', 'related', 'behavior', ',', 'strength', 'of', 'social', 'support', ',', 'and', 'coping', ')']",13,46
What are the risks associated with tapering?,What,187,"unmasked OUD, exacerbation of underlying mental health conditions",Algorithm,1,1.0,"['What', 'are', 'the', 'risks', 'associated', 'with', 'tapering', '?']","['unmasked', 'OUD', ',', 'exacerbation', 'of', 'underlying', 'mental', 'health', 'conditions']",8,9
What are some examples of concerns that may negatively impact taper?,What,188,"inability for adequate follow-up, inability to provide adequate treatment for co-occurring medical and mental health conditions and SUD",Algorithm,1,1.0,"['What', 'are', 'some', 'examples', 'of', 'concerns', 'that', 'may', 'negatively', 'impact', 'taper', '?']","['inability', 'for', 'adequate', 'follow', '-', 'up', ',', 'inability', 'to', 'provide', 'adequate', 'treatment', 'for', 'co', '-', 'occurring', 'medical', 'and', 'mental', 'health', 'conditions', 'and', 'SUD']",12,23
What does help mitigate the risk of suicide among patients on LOT?,What,192,intensification of monitoring,Recommendations,1,1.0,"['What', 'does', 'help', 'mitigate', 'the', 'risk', 'of', 'suicide', 'among', 'patients', 'on', 'LOT', '?']","['intensification', 'of', 'monitoring']",13,3
What were associated with decreased risk of suicide attempt?,What,194,patients on long-acting opioids within the facilities providing more follow-up after new prescriptions,Recommendations,0,0.4166666666666667,"['What', 'were', 'associated', 'with', 'decreased', 'risk', 'of', 'suicide', 'attempt', '?']","['patients', 'on', 'long', '-', 'acting', 'opioids', 'within', 'the', 'facilities', 'providing', 'more', 'follow', '-', 'up', 'after', 'new', 'prescriptions']",10,17
Which conditions significantly increase the risk of adverse outcomes from LOT?,Which,196,"Duration and dose of OT, Severe respiratory instability or sleep disordered breathing, Acute psychiatric instability or intermediate to high acute suicide risk, Mental health disorders, History of drug overdose, Under 30 years of age, Co-administration of a drug capable of inducing fatal drug-drug interactions, QTc interval >450 ms for using methadone, Evidence for or history of diversion of controlled substances, Intolerance, serious adverse effects, or a history of inadequate beneficial response to opioids, Impaired bowel motility unresponsive to therapy, Headache not responsive to other pain treatment modalities, Traumatic brain injury (TBI), True allergy to opioid agents",Background,0,0.021052631578947368,"['Which', 'conditions', 'significantly', 'increase', 'the', 'risk', 'of', 'adverse', 'outcomes', 'from', 'LOT', '?']","['Duration', 'and', 'dose', 'of', 'OT', ',', 'Severe', 'respiratory', 'instability', 'or', 'sleep', 'disordered', 'breathing', ',', 'Acute', 'psychiatric', 'instability', 'or', 'intermediate', 'to', 'high', 'acute', 'suicide', 'risk', ',', 'Mental', 'health', 'disorders', ',', 'History', 'of', 'drug', 'overdose', ',', 'Under', '30', 'years', 'of', 'age', ',', 'Co', '-', 'administration', 'of', 'a', 'drug', 'capable', 'of', 'inducing', 'fatal', 'drug', '-', 'drug', 'interactions', ',', 'QTc', 'interval', '>', '450', 'ms', 'for', 'using', 'methadone', ',', 'Evidence', 'for', 'or', 'history', 'of', 'diversion', 'of', 'controlled', 'substances', ',', 'Intolerance', ',', 'serious', 'adverse', 'effects', ',', 'or', 'a', 'history', 'of', 'inadequate', 'beneficial', 'response', 'to', 'opioids', ',', 'Impaired', 'bowel', 'motility', 'unresponsive', 'to', 'therapy', ',', 'Headache', 'not', 'responsive', 'to', 'other', 'pain', 'treatment', 'modalities', ',', 'Traumatic', 'brain', 'injury', '(', 'TBI', ')', ',', 'True', 'allergy', 'to', 'opioid', 'agents']",12,118
What to do after educating the patient?,What,197,"identify if there is presence of prescribed opioid dose>90 mg MEDD or combined sedating medication that increases risk of adverse events (e.g., benzodiazepine) or patient non-participation in a comprehensive pain care plan or other indications for tapering",Algorithm,0,0.05405405405405406,"['What', 'to', 'do', 'after', 'educating', 'the', 'patient', '?']","['identify', 'if', 'there', 'is', 'presence', 'of', 'prescribed', 'opioid', 'dose>90', 'mg', 'MEDD', 'or', 'combined', 'sedating', 'medication', 'that', 'increases', 'risk', 'of', 'adverse', 'events', '(', 'e.g.', ',', 'benzodiazepine', ')', 'or', 'patient', 'non', '-', 'participation', 'in', 'a', 'comprehensive', 'pain', 'care', 'plan', 'or', 'other', 'indications', 'for', 'tapering']",8,42
What to do if risks do not outweigh benefits of continuing OT?,What,198,"educate/re-educate on the following: non-opioid management, self-management to improve function and quality of life, realistic expectations and limitations of medical treatment options, preferred treatment methods being non-pharmacotherapy and non-opioid pharmacotherapy, new information on risks and lack of benefits of long-term OT",Algorithm,0,0.0,"['What', 'to', 'do', 'if', 'risks', 'do', 'not', 'outweigh', 'benefits', 'of', 'continuing', 'OT', '?']","['educate', '/', 're', '-', 'educate', 'on', 'the', 'following', ':', 'non', '-', 'opioid', 'management', ',', 'self', '-', 'management', 'to', 'improve', 'function', 'and', 'quality', 'of', 'life', ',', 'realistic', 'expectations', 'and', 'limitations', 'of', 'medical', 'treatment', 'options', ',', 'preferred', 'treatment', 'methods', 'being', 'non', '-', 'pharmacotherapy', 'and', 'non', '-', 'opioid', 'pharmacotherapy', ',', 'new', 'information', 'on', 'risks', 'and', 'lack', 'of', 'benefits', 'of', 'long', '-', 'term', 'OT']",13,60
What to do if the patient does not participate in a comprehensive pain care plan?,What,199,proceed to module C,Algorithm,1,1.0,"['What', 'to', 'do', 'if', 'the', 'patient', 'does', 'not', 'participate', 'in', 'a', 'comprehensive', 'pain', 'care', 'plan', '?']","['proceed', 'to', 'module', 'C']",16,4
What to do for patients currently on OT?,What,200,look for factors that would require immediate attention and possible discontinuation of OT due to unacceptable risk,Algorithm,1,1.0,"['What', 'to', 'do', 'for', 'patients', 'currently', 'on', 'OT', '?']","['look', 'for', 'factors', 'that', 'would', 'require', 'immediate', 'attention', 'and', 'possible', 'discontinuation', 'of', 'OT', 'due', 'to', 'unacceptable', 'risk']",9,17
What to do if there are no factors requiring immediate attention?,What,201,obtain a biopsychosocial assessment,Algorithm,1,1.0,"['What', 'to', 'do', 'if', 'there', 'are', 'no', 'factors', 'requiring', 'immediate', 'attention', '?']","['obtain', 'a', 'biopsychosocial', 'assessment']",12,4
What to do if prior medical records are not available for review?,What,202,address factors related to incomplete data prior to prescribing. Then review data and re-assess risks and benefits of continuing OT and consider strength and number of risk factors.,Algorithm,0,0.4864864864864865,"['What', 'to', 'do', 'if', 'prior', 'medical', 'records', 'are', 'not', 'available', 'for', 'review', '?']","['address', 'factors', 'related', 'to', 'incomplete', 'data', 'prior', 'to', 'prescribing', '.', 'Then', 'review', 'data', 'and', 're', '-', 'assess', 'risks', 'and', 'benefits', 'of', 'continuing', 'OT', 'and', 'consider', 'strength', 'and', 'number', 'of', 'risk', 'factors', '.']",13,32
What includes prior medical records?,What,203,"current prescriber, prior and current UDT, PDMP",Algorithm,1,1.0,"['What', 'includes', 'prior', 'medical', 'records', '?']","['current', 'prescriber', ',', 'prior', 'and', 'current', 'UDT', ',', 'PDMP']",6,9
