Question,Question Type,QID,title_old,Answer,TITLE
What is the stance regarding the long-term opioid therapy for pain in patients with untreated substance use disorder?,What,310,Recommendations,recommend against,Recommendations
What is recommended for patients currently on long-term opioid therapy with evidence of untreated substance use disorder?,What,311,Recommendations,"close monitoring, including engagement in substance use disorder treatment, and discontinuation of opioid therapy for pain with appropriate tapering",Recommendations
What is the stance regarding the concurrent use of benzodiazepines and opioids?,What,312,Recommendations,recommend against,Recommendations
What to consider for patients currently on long-term opioid therapy and benzodiazepines?,What,313,Recommendations,consider tapering one or both when risks exceed benefits and obtaining specialty consultation as appropriate,Recommendations
What is the stance regarding long-term opioid therapy for patients less than 30 years of age secondary to higher risk of opioid use disorder and overdose?,What,314,Recommendations,recommend against,Recommendations
What to recommend for patients less than 30 years of age currently on long-term opioid therapy?,What,315,Recommendations,close monitoring and consideration for tapering when risks exceed benefits,Recommendations
What is recommended upon initiation of long-term opioid therapy?,What,316,Recommendations,implementing risk mitigation strategies,Recommendations
How to implement the risk mitigation strategies upon initiation of long-term opioid therapy?,How,317,Recommendations,starting with an informed consent conversation covering the risks and benefits of opioid therapy as well as alternative therapies,Recommendations
What should be commensurate with risk factors?,What,318,Recommendations,The strategies and their frequency,Recommendations
What are included in the strategies and their frequency?,What,319,Recommendations,"ongoing, random urine drug testing (including appropriate confirmatory testing), checking state prescription drug monitoring programs, monitoring for overdose potential and suicidality, providing overdose education, prescribing of naloxone rescue and accompanying education",Recommendations
What is recommended when considering initiating or continuing long-term opioid therapy?,What,320,Recommendations,assessing suicide risk and intervening when necessary,Recommendations
When is assessing suicide risk and intervening recommended?,When,321,Recommendations,when considering initiating or continuing long-term opioid therapy,Recommendations
When is it recommended to evaluate benefits of continued opioid therapy and risk for opioid-related adverse events?,When,322,Recommendations,at least every three months,Recommendations
What is recommended at least every 3 months?,What,323,Recommendations,evaluating benefits of continued opioid therapy and risk for opioid-related adverse events,Recommendations
What risk is recommended to be evaluated at least every 3 months?,What,324,Recommendations,risk for opioid-related adverse events,Recommendations
What benefits are recommended to be evaluated at least every 3 months?,What,325,Recommendations,benefits of continued opioid therapy,Recommendations
What kind of dose of opioids do not exist?,What,328,Recommendations,absolutely safe,Recommendations
What is recommended as opioid dosage and risk increase?,What,329,Recommendations,more frequent monitoring for adverse events including opioid use disorder and overdose,Recommendations
When is it recommended more frequent monitoring for adverse events?,When,330,Recommendations,As opioid dosage and risk increase,Recommendations
When do the risks for opioid use disorder start?,When,331,Recommendations,at any dose,Recommendations
How do the risks for opioid use disorder increase?,How,332,Recommendations,in a dose dependent manner,Recommendations
What does significantly increase at a range of 20- 50 mg morphine equivalent daily dose?,What,334,Recommendations,Risks for overdose and death,Recommendations
What is the stance regarding opioid doses over 90 mg morphine equivalent daily dose for treating chronic pain?,What,335,Recommendations,recommend against,Recommendations
What to do for patients who are currently prescribed doses over 90 mg morphine equivalent daily dose?,What,336,Recommendations,evaluate for tapering to reduced dose or to discontinuation,Recommendations
What is the stance regarding prescribing long-acting opioids for acute pain?,What,338,Recommendations,recommend against,Recommendations
What is the stance regarding prescribing long-acting opioids as an as-needed medication?,What,339,Recommendations,recommend against,Recommendations
What is recommended when risks of long-term opioid therapy outweigh benefits?,What,340,Recommendations,tapering to reduced dose or to discontinuation of long-term opioid therapy,Recommendations
When is it recommended to taper to reduced dose or to discontinuation of long-term opioid therapy?,When,341,Recommendations,when risks of long-term opioid therapy outweigh benefits,Recommendations
What should be avoided unless required for immediate safety concerns?,What,342,Recommendations,Abrupt discontinuation,Recommendations
"What kind of care is recommended that addresses pain, substance use disorders, and/or mental health problems for patients presenting with high risk and/or aberrant behavior?",What,344,Recommendations,interdisciplinary,Recommendations
What does interdisciplinary care do?,What,345,Recommendations,"addresses pain, substance use disorders, and/or mental health problems for patients presenting with high risk and/or aberrant behavior",Recommendations
What treatment is recommended to offer for opioid use disorder to patients with chronic pain and opioid use disorder?,What,346,Recommendations,medication assisted treatment,Recommendations
Who are recommended to be offered medication assisted treatment? ,Who,347,Recommendations,patients with chronic pain and opioid use disorder,Recommendations
Where can we find information on the Management of Substance Use Disorders?,Where,349,Recommendations,VA/DoD Clinical Practice Guideline,Recommendations
What is recommended for mild-to-moderate acute pain?,What,350,Recommendations,alternatives to opioids,Recommendations
When is it suggested to use multimodal pain care including non-opioid medications as indicated?,When,352,Recommendations,when opioids are used for acute pain,Recommendations
What is suggested to be used when opioids are used for acute pain?,What,353,Recommendations,multimodal pain care including non-opioid medications as indicated,Recommendations
What is recommended if take-home opioids are prescribed?,What,354,Recommendations,immediate-release opioids are used at the lowest effective dose with opioid therapy reassessment no later than 3-5 days to determine if adjustments or continuing opioid therapy is indicated,Recommendations
What should be offered to patients?,What,358,Recommendations,education about opioid risks and alternatives to opioid therapy,Recommendations
What does the work Group recognize?,What,361,Algorithm,not all clinical practices are linear,Algorithm
What does the simplified linear approach depicted through the algorithm and its format allow?,What,362,Algorithm,to assess the critical information needed at the major decision points in the clinical process,Algorithm
Who does assess the critical information needed at the major decision points in the clinical process?,Who,363,Algorithm,the provider,Algorithm
What does the algorithm include?,What,364,Algorithm,"an ordered sequence of steps of care, recommended observations and examinations, decisions to be considered, actions to be taken",Algorithm
What is Module A about?,What,365,Module A: Determination of Appropriateness for Opioid Therapy,determination of appropriateness for opioid therapy,Algorithm
What therapies are preferred for chronic pain?,What,366,Module A: Determination of Appropriateness for Opioid Therapy,Non-pharmacologic and non-opioid pharmacologic,Algorithm
What to do if a patient is with chronic pain and has been on daily OT for pain for more than 3 months?,What,367,Module A: Determination of Appropriateness for Opioid Therapy,proceed to module D,Algorithm
What to do if a patient is with chronic pain and has not been on daily OT for pain for more than 3 months?,What,368,Module A: Determination of Appropriateness for Opioid Therapy,"obtain biopsychosocial assessment. Then educate or re-educate on non-opioid management, self-management to improve function and quality of life, realistic expectations and limitations of medical treatment. Then implement and optimize non-opioid treatments for chronic pain (e.g., physical, psychological, and complementary and integrative treatments).",Algorithm
What to implement and optimize for patients who are in chronic pain and have not been on daily OT for pain for more than 3 months?,What,370,Module A: Determination of Appropriateness for Opioid Therapy,non-opioid treatments for chronic pain,Algorithm
What to do if the treatments are effective in managing pain and optimizing function?,What,371,Module A: Determination of Appropriateness for Opioid Therapy,exit algorithm; manage with non-opioid modalities,Algorithm
What to do if the treatments are not effective in managing pain and optimizing function?,What,372,Module A: Determination of Appropriateness for Opioid Therapy,complete opioid risk assessment and see if patient risks outweigh benefits by considering strength and number of risk factors and patient preference,Algorithm
How to determine whether patient risks outweigh benefits?,How,373,Module A: Determination of Appropriateness for Opioid Therapy,by considering strength and number of risk factors and patient preference,Algorithm
What to do if patient risk outweighs benefits?,What,374,Module A: Determination of Appropriateness for Opioid Therapy,"see whether referral/consultation for evaluation and treatment is indicated (e.g., mental health, SUD, more intensive interdisciplinary care)",Algorithm
What to do if referral/consultation for evaluation and treatment is indicated?,What,375,Module A: Determination of Appropriateness for Opioid Therapy,"refer/consult with appropriate interdisciplinary treatments. Then after referral/consultation with appropriate interdisciplinary treatments, see if the patient is willing to engage in a comprehensive pain care plan.",Algorithm
What to do if referral/consultation for evaluation and treatment is not indicated?,What,376,Module A: Determination of Appropriateness for Opioid Therapy,see if the patient is willing to engage in a comprehensive pain care plan,Algorithm
What to do if the patient is not willing to engage in a comprehensive pain care plan?,What,377,Module A: Determination of Appropriateness for Opioid Therapy,exit algorithm; manage with non-opioid modalities,Algorithm
What to do if the patient is willing to engage in a comprehensive pain care plan?,What,378,Module A: Determination of Appropriateness for Opioid Therapy,"educate the patient and family about treatment options, including education on known risks and unknown long-term benefits of OT, risks of SUD and overdose, need for risk mitigation strategies, naloxone rescue. Then see if adding OT to comprehensive pain therapy is indicated at this time.",Algorithm
"When the patient is willing to engage in a comprehensive pain care plan, what to educate the patient and family about?",When,379,Module A: Determination of Appropriateness for Opioid Therapy,"treatment options, including education on known risks and unknown long-term benefits of OT, risks of SUD and overdose, need for risk mitigation strategies, naloxone rescue",Algorithm
What to do if adding OT to comprehensive pain therapy is indicated at this time?,What,380,Module A: Determination of Appropriateness for Opioid Therapy,see if the patient is prepared to accept responsibilities and the provider is prepared to implement risk mitigation strategies,Algorithm
What to do if adding OT to comprehensive pain therapy is not indicated at this time?,What,381,Module A: Determination of Appropriateness for Opioid Therapy,exit algorithm; manage with non-opioid modalities,Algorithm
What to do if the patient is prepared to accept responsibilities?,What,382,Module A: Determination of Appropriateness for Opioid Therapy,"discuss and complete written informed consent with patient and family, determine and document treatment plan, and proceed to module B",Algorithm
What to do if the patient is not prepared to accept responsibilities or the provider is not prepared to implement risk mitigation strategies?,What,383,Module A: Determination of Appropriateness for Opioid Therapy,exit algorithm; manage with non-opioid modalities,Algorithm
What are the components of biopsychosocial assessment?,What,384,Module A: Determination of Appropriateness for Opioid Therapy,"pain assessment, patient functional goals, impact of pain on family, work, life, review of previous diagnostic studies, additional consultations and referrals, coexisting illness and treatments and effect on pain, significant psychological, social, or behavioral factors that may affect treatment, family history of chronic pain, collateral of family involvement, patient beliefs/knowledge of the cause of their pain and their treatment preferences along with the perceived efficacy of various treatment options",Algorithm
What to assess for patients already on OT?,What,385,Module A: Determination of Appropriateness for Opioid Therapy,psychological factors related to continuing vs. tapering OT,Algorithm
What does pain assessment include?,What,386,Module A: Determination of Appropriateness for Opioid Therapy,"history, physical exam, comorbidities, previous treatment and medications, duration of symptoms, onset and triggers",Algorithm
What are psychological factors?,What,387,Module A: Determination of Appropriateness for Opioid Therapy,"beliefs, expectations, fears",Algorithm
What are some examples of absolute contraindications to initiating opioid therapy for chronic pain?,What,388,Module A: Determination of Appropriateness for Opioid Therapy,"true life-threatening allergy to opioids, active SUD, elevated suicide risk, concomitant use of benzodiazepines",Algorithm
What is LOT?,What,389,Module A: Determination of Appropriateness for Opioid Therapy,long-term opioid therapy,Algorithm
What is OT?,What,390,Module A: Determination of Appropriateness for Opioid Therapy,opioid therapy,Algorithm
What does PDMP mean?,What,391,Module A: Determination of Appropriateness for Opioid Therapy,Prescription Drug Monitoring Program,Algorithm
What does it mean by SUD?,What,392,Module A: Determination of Appropriateness for Opioid Therapy,substance use disorder,Algorithm
What does UDT refer to?,What,393,Module A: Determination of Appropriateness for Opioid Therapy,urine drug test,Algorithm
What does VA/DoD Suicide CPG refer to?,What,394,Module A: Determination of Appropriateness for Opioid Therapy,VA/DoD Clinical Practice Guideline for the Assessment and Management of Patients at Risk for Suicide,Algorithm
What is module B about?,What,395,Module B: Treatment with Opioid Therapy,treatment with opioid therapy,Algorithm
Who are provided opioid therapy treatment?,Who,396,Module B: Treatment with Opioid Therapy,the candidate for trial of OT with consent (in conjunction with a comprehensive pain care plan),Algorithm
Which approach to follow when initiating OT?,Which,397,Module B: Treatment with Opioid Therapy,"short duration (e.g., 1 week initial prescription; no more than 3 months total), use the lowest effective dose recognizing that no dose is completely safe, long-acting opioids should not be prescribed for opioid-naive individuals, consider alternatives to methadone and transdermal fentanyl, assessment of improvement in pain and functional status and adverse effects, offer overdose education and naloxone distribution (OEND)",Algorithm
What should be the duration and dosage when initiatiing opioid thrapy? ,What,398,Module B: Treatment with Opioid Therapy,"short duration (e.g., 1 week initial prescription; no more than 3 months total), use the lowest effective dose recognizing that no dose is completely safe",Algorithm
What can happen with a strategy of escalating dose during OT?,What,399,Module B: Treatment with Opioid Therapy,A strategy of escalating dose to achieve benefit increases risk and has not been shown to improve function.,Algorithm
How much dose escalation has not been shown to improve function and increase risk?,How,400,Module B: Treatment with Opioid Therapy,above 20-50 mg MEDD,Algorithm
Who should not be prescribed long-acting opioids?,Who,401,Module B: Treatment with Opioid Therapy,opioid-naive individuals,Algorithm
What to do if a patient is medically or psychiatrically unstable?,What,404,Module B: Treatment with Opioid Therapy,admit/provide medical and psychiatric treatment to stabilize as indicated,Algorithm
What to do if a patient is not medically or psychiatrically unstable?,What,405,Module B: Treatment with Opioid Therapy,see if there is a clinically meaningful improvement in function in the absence of significant risk factors,Algorithm
What to do if there is a clinically meaningful improvement in function in the absence of significant risk factors?,What,406,Module B: Treatment with Opioid Therapy,"review and optimize comprehensive pain care plan (e.g., non-opioid treatments, self-management strategies)",Algorithm
What are some examples of comprehensive pain care plan?,What,407,Module B: Treatment with Opioid Therapy,"non-opioid treatments, self-management strategies",Algorithm
What to do if there is no clinically meaningful improvement in function in the absence of significant risk factors?,What,408,Module B: Treatment with Opioid Therapy,"taper to discontinuation (consult Module C if needed), exit algorithm and manage with non-opioid modalities",Algorithm
What to do during a follow-up with a patient?,What,410,Module B: Treatment with Opioid Therapy,"assess function, risks, and benefits of OT, progress toward functional treatment goals, adverse effects, adherence to treatment plan, complications or co-occurring conditions (e.g., medical, mental health, and/or SUD); complete risk mitigation strategies; review and optimize comprehensive pain care plan",Algorithm
What to assess during a follow-up with a patient?,What,411,Module B: Treatment with Opioid Therapy,"function, risks, and benefits of OT, progress toward functional treatment goals, adverse effects, adherence to treatment plan, complications or co-occurring conditions (e.g., medical, mental health, and/or SUD)",Algorithm
What to review and optimize during a follow-up?,What,412,Module B: Treatment with Opioid Therapy,comprehensive pain care plan,Algorithm
Which factors can increase the risks of OT?,Which,413,Module B: Treatment with Opioid Therapy,"non-adherence, co-occurring conditions, behaviors suggesting OUD, indications for referral",Algorithm
What to do if the factors that increase risks of OT are present?,What,414,Module B: Treatment with Opioid Therapy,"consider one or more of the following: shortening prescribing interval, intensifying risk mitigation strategies, increasing intensity of monitoring, referring to interdisciplinary care and consulting with or referring to specialty care",Algorithm
What to do if the factors that increase risks of OT are not present?,What,415,Module B: Treatment with Opioid Therapy,see if there are indications to discontinue or taper,Algorithm
What to do if there are indications to discontinue or taper?,What,416,Module B: Treatment with Opioid Therapy,taper to reduced dose or taper to discontinuation,Algorithm
What to do if there are no indications to discontinue or taper?,What,417,Module B: Treatment with Opioid Therapy,reassess in 1-3 months or more frequently as determined by patient risk factors,Algorithm
What are the necessary risk mitigation strategies?,What,418,Module B: Treatment with Opioid Therapy,"OEND, UDT, PDMP, face-to-face follow-up with frequency determined by risk",Algorithm
What are the indications for tapering and discontinuation?,What,419,Module B: Treatment with Opioid Therapy,"risks of OT outweigh benefits, patient preference, diversion",Algorithm
Which factors may indicate the need for more frequent follow-up?,Which,421,Module B: Treatment with Opioid Therapy,"non-adherence to comprehensive pain care plan (e.g., attendance at appointment), unexpected UDT and PDMP results, non-adherence to opioid prescription (e.g., using more than prescribed and/or running out early), higher risk medication characteristics (e.g., high-dose opioids, combination of opioids and benzodiazepines), patients with mental health, medical, or SUD comorbidities that increase risk for adverse outcomes",Algorithm
Which factor can help identify non-adherence to a comprehensive pain care plan?,Which,422,Module B: Treatment with Opioid Therapy,attendance at appointment,Algorithm
What is an example of non-adherence to opioid prescription?,What,423,Module B: Treatment with Opioid Therapy,using more than prescribed and/or running out early,Algorithm
What are the characteristics of higher risk medication?,What,424,Module B: Treatment with Opioid Therapy,"high-dose opioids, combination of opioids and benzodiazepines",Algorithm
What is MEDD?,What,425,Module B: Treatment with Opioid Therapy,morphine equivalent daily dose,Algorithm
What does OEND refer to?,What,426,Module B: Treatment with Opioid Therapy,Overdose Education and Naloxone Distribution,Algorithm
What is Module C about?,What,427,Module C: Tapering or Discontinuation of Opioid Therapy,tapering or discontinuation of opioid therapy,Algorithm
What to do if there is an indication to taper to reduced dose or taper to discontinuation?,What,428,Module C: Tapering or Discontinuation of Opioid Therapy,repeat comprehensive biopsychosocial assessment. Then see if the patient demonstrates signs or symptoms of SUD.,Algorithm
What to do if the patient demonstrates signs or symptoms of SUD?,What,429,Module C: Tapering or Discontinuation of Opioid Therapy,see whether the patient is willing to engage in SUD therapy,Algorithm
What to do if the patient is willing to engage in SUD therapy?,What,430,Module C: Tapering or Discontinuation of Opioid Therapy,"access specialized SUD care with monitoring and follow-up appropriate for the patient’s needs (e.g., MAT, treatment for comorbidities), see VA/DoD SUD CPG, exit algorithms and manage with non-opioid modalities",Algorithm
What to do if the patient does not demonstrate signs or symptoms of SUD?,What,431,Module C: Tapering or Discontinuation of Opioid Therapy,look for evidence of diversion,Algorithm
What to do if there is evidence of diversion?,What,432,Module C: Tapering or Discontinuation of Opioid Therapy,immediately discontinue opioid therapy,Algorithm
What to do if there is no evidence of diversion?,What,433,Module C: Tapering or Discontinuation of Opioid Therapy,"look for high-risk or dangerous behavior (e.g., overdose event, accidents, and threatening provider)",Algorithm
What are some examples of high-risk or dangerous behavior?,What,434,Module C: Tapering or Discontinuation of Opioid Therapy,"overdose event, accidents, and threatening provider",Algorithm
What to do if there is high risk or dangerous behavior?,What,435,Module C: Tapering or Discontinuation of Opioid Therapy,"address safety and misuse, assess for withdrawal symptoms and offer expedited taper, immediate discontinuation or detox as indicated, continue to monitor for SUD and mental health comorbidities and offer treatment as indicated (see VA/DoD SUD CPG and Academic Detailing Tapering Document), exit algorithm and manage with non-opioid modalities",Algorithm
What to do if the patient is not willing to engage in SUD therapy?,What,436,Module C: Tapering or Discontinuation of Opioid Therapy,"address safety and misuse, assess for withdrawal symptoms and offer expedited taper, immediate discontinuation or detox as indicated, continue to monitor for SUD and mental health comorbidities and offer treatment as indicated (see VA/DoD SUD CPG and Academic Detailing Tapering Document), exit algorithm and manage with non-opioid modalities",Algorithm
What to do immediately after discontinuing OT?,What,437,Module C: Tapering or Discontinuation of Opioid Therapy,"address safety and misuse, assess for withdrawal symptoms and offer expedited taper, immediate discontinuation or detox as indicated, continue to monitor for SUD and mental health comorbidities and offer treatment as indicated (see VA/DoD SUD CPG and Academic Detailing Tapering Document), exit algorithm and manage with non-opioid modalities",Algorithm
What to do if there is no high risk or dangerous behavior?,What,438,Module C: Tapering or Discontinuation of Opioid Therapy,"develop an individualized tapering treatment plan (including pace of tapering, setting of care) based on patient and treatment characteristics",Algorithm
When to follow-up after each change in dosage?,When,439,Module C: Tapering or Discontinuation of Opioid Therapy,1 week to 1 month,Algorithm
When to follow-up after discontinuation?,When,440,Module C: Tapering or Discontinuation of Opioid Therapy,1 week to 1 month,Algorithm
What to consider while deciding when to follow up with a patient after each change in dosage or after discontinuation?,What,441,Module C: Tapering or Discontinuation of Opioid Therapy,patient and treatment characteristics,Algorithm
What to consider at each interaction with patient during the follow-ups?,What,442,Module C: Tapering or Discontinuation of Opioid Therapy,"educate on self-management and risks of OT, optimize whole person approach to pain care, optimize treatment of co-occurring mental health conditions, optimize non-opioid pain treatment modalities, reassess for OUD and readiness for OUD treatment as indicated",Algorithm
What to do if the patient resists taper?,What,443,Module C: Tapering or Discontinuation of Opioid Therapy,repeat comprehensive biopsychosocial assessment and see if an SUD is identified,Algorithm
What to do if there is high risk or dangerous behaviors?,What,444,Module C: Tapering or Discontinuation of Opioid Therapy,repeat comprehensive biopsychosocial assessment and see if an SUD is identified,Algorithm
What to do if there is an increase in patient distress?,What,445,Module C: Tapering or Discontinuation of Opioid Therapy,repeat comprehensive biopsychosocial assessment and see if an SUD is identified,Algorithm
What to do if an SUD is identified?,What,446,Module C: Tapering or Discontinuation of Opioid Therapy,find out if the patient is willing to engage in SUD therapy,Algorithm
What to do if an SUD is not identified?,What,447,Module C: Tapering or Discontinuation of Opioid Therapy,"identify the followings: use of opioids to modulate emotions (i.e., “chemical coping”), untreated or undertreated psychiatric disorder",Algorithm
What to do if an SUD is not identified and there is use of opioids to modulate emotions or an untreated or undertreated psychiatric disorder?,What,448,Module C: Tapering or Discontinuation of Opioid Therapy,"engage the patient in appropriate behavioral and/or psychiatric treatment, ideally in an interdisciplinary setting, consider reduced rate of taper or pause in taper for patients actively engaged in skills training",Algorithm
What to do if there is use of opioids to modulate emotions or an untreated or undertreated psychiatric disorder?,What,449,Module C: Tapering or Discontinuation of Opioid Therapy,"engage the patient in appropriate behavioral and/or psychiatric treatment, ideally in an interdisciplinary setting, consider reduced rate of taper or pause in taper for patients actively engaged in skills training",Algorithm
What is chemical coping?,What,450,Module C: Tapering or Discontinuation of Opioid Therapy,use of opioids to modulate emotions,Algorithm
What to consider for patients who are actively engaged in skills training?,What,451,Module C: Tapering or Discontinuation of Opioid Therapy,reduced rate of taper or pause in taper,Algorithm
What to do if patient is fearful or anxious about taper and ability to function on lower dose or without opioids?,What,452,Module C: Tapering or Discontinuation of Opioid Therapy,"provide additional education about whole person pain care and LOT and reassurance that the patient will not be abandoned, consider more frequent follow-up using the expanded care team (registered nurse, clinical pharmacist, health coach, mental health provider), consider reduced rate of taper or pause in taper for patients actively engaged in skills training, reassess for OUD throughout the taper",Algorithm
What to use for more frequent follow-up?,What,453,Module C: Tapering or Discontinuation of Opioid Therapy,the expanded care team,Algorithm
What includes expanded care team?,What,454,Module C: Tapering or Discontinuation of Opioid Therapy,"registered nurse, clinical pharmacist, health coach, mental health provider",Algorithm
What to do if there is a concern for diversion?,What,455,Module C: Tapering or Discontinuation of Opioid Therapy,immediately discontinue opioid therapy,Algorithm
What to do if there is no concern for diversion?,What,456,Module C: Tapering or Discontinuation of Opioid Therapy,follow-up 1 week to 1 month after each change in dosage and after discontinuation considering patient and treatment characteristics,Algorithm
"When safety allows, what are the advantages of a gradual taper?",When,457,Module C: Tapering or Discontinuation of Opioid Therapy,"a gradual taper rate (5-10% reduction every 4 weeks) allows time for neurobiological, psychological, and behavioral adaptations",Algorithm
What is the rate of a gradual taper?,What,458,Module C: Tapering or Discontinuation of Opioid Therapy,5-10% reduction every 4 weeks,Algorithm
What does a gradual taper rate allow?,What,459,Module C: Tapering or Discontinuation of Opioid Therapy,"time for neurobiological, psychological, and behavioral adaptations",Algorithm
What to do when there are concerns regarding risks of tapering?,What,460,Module C: Tapering or Discontinuation of Opioid Therapy,"consider interdisciplinary services that may include mental health, SUD, primary care, and specialty pain care",Algorithm
What are the risks associated with tapering?,What,461,Module C: Tapering or Discontinuation of Opioid Therapy,"unmasked OUD, exacerbation of underlying mental health conditions",Algorithm
What maybe included in interdisciplinary services?,What,462,Module C: Tapering or Discontinuation of Opioid Therapy,"mental health, SUD, primary care, and specialty pain care",Algorithm
Which concerns need to be addressed at the time of opioid tapering?,Which,463,Module C: Tapering or Discontinuation of Opioid Therapy,"concerns that may negatively impact taper (e.g., inability for adequate follow-up, inability to provide adequate treatment for co-occurring medical and mental health conditions and SUD)",Algorithm
What are some examples of concerns that may negatively impact taper?,What,464,Module C: Tapering or Discontinuation of Opioid Therapy,"inability for adequate follow-up, inability to provide adequate treatment for co-occurring medical and mental health conditions and SUD",Algorithm
Which patient and treatment characteristics should be considered when determining tapering strategy?,Which,465,Module C: Tapering or Discontinuation of Opioid Therapy,"opioid dose, duration of therapy, type of opioid formulation, psychiatric, medical and SUD comorbidities and other patient risk factors (e.g., non-adherence, high-risk medication-related behavior, strength of social support, and coping)",Algorithm
What is module D for?,What,466,Module D: Patients Currently on Opioid Therapy,patients currently on opioid therapy,Algorithm
What to do for patients currently on OT?,What,467,Module D: Patients Currently on Opioid Therapy,look for factors that would require immediate attention and possible discontinuation of OT due to unacceptable risk,Algorithm
What to do if there are factors that would require immediate attention?,What,468,Module D: Patients Currently on Opioid Therapy,"admit/provide treatment to stabilize, including opioid tapering or SUD treatment as indicated",Algorithm
What to do if there are no factors requiring immediate attention?,What,469,Module D: Patients Currently on Opioid Therapy,obtain a biopsychosocial assessment,Algorithm
What to do if prior medical records are available for review?,What,470,Module D: Patients Currently on Opioid Therapy,review data and re-assess risks and benefits of continuing OT and consider strength and number of risk factors,Algorithm
What includes prior medical records?,What,471,Module D: Patients Currently on Opioid Therapy,"current prescriber, prior and current UDT, PDMP",Algorithm
What to do if prior medical records are not available for review?,What,472,Module D: Patients Currently on Opioid Therapy,address factors related to incomplete data prior to prescribing. Then review data and re-assess risks and benefits of continuing OT and consider strength and number of risk factors.,Algorithm
What to do if risks outweigh benefits of continuing OT?,What,473,Module D: Patients Currently on Opioid Therapy,proceed to module C,Algorithm
What to do if risks do not outweigh benefits of continuing OT?,What,474,Module D: Patients Currently on Opioid Therapy,"educate/re-educate on the following: non-opioid management, self-management to improve function and quality of life, realistic expectations and limitations of medical treatment options, preferred treatment methods being non-pharmacotherapy and non-opioid pharmacotherapy, new information on risks and lack of benefits of long-term OT",Algorithm
What to do after educating the patient?,What,475,Module D: Patients Currently on Opioid Therapy,"identify if there is presence of prescribed opioid dose>90 mg MEDD or combined sedating medication that increases risk of adverse events (e.g., benzodiazepine) or patient non-participation in a comprehensive pain care plan or other indications for tapering",Algorithm
What to do if there is no presence of prescribed opioid dose>90 mg MEDD or combined sedating medication that increases risk of adverse events or patient non-participation in a comprehensive pain care plan or other indications for tapering? ,What,476,Module D: Patients Currently on Opioid Therapy,"reassess and optimize preferred non-opioid treatments for chronic pain (e.g., physical and psychological treatments) recognizing that the patient is willing to continue to engage in a comprehensive treatment plan including non-opioid treatments",Algorithm
What are non-opioid treatments for chronic pain?,What,477,Module D: Patients Currently on Opioid Therapy,physical and psychological treatments,Algorithm
What to do if the patient is experiencing clear functional improvement with minimal risk?,What,478,Module D: Patients Currently on Opioid Therapy,"continue OT using the following approach: shortest duration, using lowest effective dose (recognizing that no dose is completely safe and overdose risk increases at doses > 20-50 mg MEDD), continual assessment of improvement in pain and functional status and adverse effects",Algorithm
What to do if the patient is prescribed opioid dose>90 mg MEDD?,What,480,Module D: Patients Currently on Opioid Therapy,proceed to module C,Algorithm
"What to do if there is presence of combined sedating medication that increases risk of adverse events (e.g., benzodiazepine)?",What,481,Module D: Patients Currently on Opioid Therapy,proceed to module C,Algorithm
What to do if the patient does not participate in a comprehensive pain care plan?,What,482,Module D: Patients Currently on Opioid Therapy,proceed to module C,Algorithm
Which factors require immediate attention and possible discontinuation?,Which,483,Module D: Patients Currently on Opioid Therapy,"untreated SUD, unstable mental health disorder, medical condition that acutely increases opioid risks (e.g., compromised or worsening cognitive or cardiopulmonary status), other factors that acutely increase risk of overdose (recent overdose, current sedation, recent motor vehicle accident), acutely elevated suicide risk",Algorithm
What other factors can acutely increase risk of overdose?,What,484,Module D: Patients Currently on Opioid Therapy,"recent overdose, current sedation, recent motor vehicle accident",Algorithm
What are the risks of continuing opioid therapy?,What,485,Module D: Patients Currently on Opioid Therapy,"increase in all-cause mortality, increase risk of unintentional overdose death, increase risk of developing OUD, risk of developing or worsening - depression, falls, fractures, sleep disordered breathing, worsening pain, motor vehicle accidents hypogonadism, prolonged pain, nausea, constipation, dry mouth, sedation, cognitive dysfunction, immune system dysfunction, reduction in function, reduction in quality of life",Algorithm
What are the benefits of continuing opioid therapy?,What,486,Module D: Patients Currently on Opioid Therapy,"modest short-term improvement in pain, possible short-term improvement in function",Algorithm
What are some talking points for educating/re-educating the patients currently on OT? ,What,487,Module D: Patients Currently on Opioid Therapy,"“Doctors used to think that opioids were safe and effective when used for long periods of time to treat chronic pain.”, “New information has taught us that long-term opioid use can lead to multiple problems including loss of pain relieving effects, increased pain, unintentional death, OUD, and problems with sleep, mood, hormonal dysfunction, and immune dysfunction,”, “We now know that the best treatments for chronic pain are not opioids. The best treatments for chronic pain are non-drug treatments such as psychological therapies and rehabilitation therapies and non-opioid medications.”",Algorithm
What is a national public health problem as outlined in the 2011 study by the National Academy of Medicine?,What,488,Opioid Epidemic,Chronic pain,Background
What was the National Academy of Medicine formerly known as?,What,489,Opioid Epidemic,the Institute of Medicine [IOM],Background
How many Americans suffer from some form of chronic pain?,How,490,Opioid Epidemic,At least 100 million,Background
What was increasing at an alarming rate until recently?,What,491,Opioid Epidemic,the treatment of chronic pain with opioids,Background
What was accompanying the increase in prescriptions of opioid medications?,What,492,Opioid Epidemic,an epidemic of opioid-related adverse events,Background
How many discharges in the emergency department included prescriptions for opioids?,How,497,Opioid Epidemic,at least 17%,Background
What is the state of research on the effectiveness of LOT for non-end-of-life pain?,What,498,Opioid Epidemic,limited,Background
