Question,Question Type,QID
"From 2000 through 2010, what was the increment of the proportion of pain visits during which opioid was prescribed?",What,493
"From 2000 through 2010, what was the increment of the proportion of pain visits during which non-opioid pharmacologic therapies were prescribed?",What,494
"In 2012, how many opioid prescriptions were written by healthcare providers for every 100 persons in the U.S.?",How,495
"In 2012, how many benzodiazepine prescriptions were written by healthcare providers for every 100 persons in the U.S.?",How,496
How many discharges in the emergency department included prescriptions for opioids?,How,497
What is the state of research on the effectiveness of LOT for non-end-of-life pain?,What,498
What are the adverse effects of LOT?,What,499
How many opioid prescriptions were written in 2012?,How,500
"From 1999 to 2008, what is increasing in parallel with the increment of opioid prescribing?",What,501
What was the leading cause of injury-related death in the U.S. in 2009?,What,502
What was the statistics of the events related to OUD or prescription drug overdose in 2014?,What,503
How many Americans were affected by an OUD related to non-medical  use of prescription pain relievers in 2014?,How,504
How many Americans died as a result of a  prescription drug overdose in 2014?,How,505
What kind of increase has there been in the absolute number of deaths associated with the use of opioids since 2000?,What,506
What kind of increase has there been in the absolute number of deaths associated with the use of opioids between 2013 and 2014 alone?,What,507
"As found from a survey of patients prescribed opioids for chronic non-cancer pain and their family members, how many patients reported that they thought they were addicted/dependent on opioid pain medication?",How,508
"As found from a survey of patients prescribed opioids for chronic non-cancer pain and their family members, how many patients reported that they used the medication for fun or to get high?",How,509
"As found from a survey of patients prescribed opioids for chronic non-cancer pain and their family members, how many patients reported that they used the medication to relieve day-to-day stress?",How,510
What was the outcome of the survey of patients prescribed opioids for chronic non-cancer pain and their family members?,What,511
What is CNCP?,What,512
"Between 2000 and 2013, what increased along with the increment of prescription opioid use?",What,513
How much did the rate of heroin overdose deaths increase between 2000 and 2013?,How,514
What percentage of people entering SUD treatment for heroin use started using heroin as their first opioid in the 1960s?,What,515
What percentage of people entering SUD treatment for heroin use started using prescription opioids as their first opioid in the 2000s?,What,516
What was the first opioid used by most of the people entering SUD treatment for heroin use in the 1960s?,What,517
What was the first opioid used by most of the people entering SUD treatment for heroin use in the 2000s?,What,518
What called attention to the need for a paradigm shift in pain and its treatment protocols?,What,519
Where can further information on SUD treatment be found?,Where,520
What is VA/DoD SUD CPG?,What,521
In which way the U.S. is in the midst of cultural transformation?,Which,522
What is the trend in pain management and care in the U.S.?,What,523
What happens in the biomedical model of pain care?,What,524
What is the aim of the pain treatment in the biomedical model of pain care?,What,525
Which was the dominating period of the biomedical model of pain care?,Which,526
"Why did the National Academy of Medicine issue a call for the transformation of pain care to a biopsychosocial, multimodal, interdisciplinary model?",Why,527
Which model was adopted after the biomedical model of pain care?,Which,528
What happened concurrently with the transformation in pain care?,What,529
How was OT used prior to 1980s?,How,530
Name the concerning factors regarding the use of OT prior to 1980s.,Definition/Example,531
How did OT increasingly become a mainstay for cancer and end-of-life pain?,How,532
Which efforts led to an unprecedented increase in opioid prescribing for chronic non-terminal pain?,Which,533
Which became synonymous with LOT in the 1990s and the first decade of the 2000s?,Which,534
When did chronic pain management became synonymous with LOT?,When,535
What was the state of long-term safety or efficacy data when OT for chronic non-terminal pain became a mainstay of therapy?,What,536
When did a more cautious approach to OT for chronic non-terminal pain emerge?,When,537
How did a more cautious approach to OT for chronic non-terminal pain emerge?,How,538
What warranted a cautious approach to LOT prioritizing safety?,What,539
What was coupled with the newly cautious approach to LOT?,What,540
How is pain recognized by the biopsychosocial model of pain?,How,541
What are the preferred treatments for chronic non-terminal pain?,What,542
Where does OT have a limited role?,Where,543
"What is the role of OT in the treatment of severe acute pain, post-operative pain, and end-of-life pain?",What,544
What has accumulated growing attention from federal and local officials as well as other policymakers?,What,545
Which health issue has been identified as an epidemic?,Which,546
"In 2010, what was the focus of National Drug Control Strategy?",What,547
What were the goals of President’s National Drug Control strategy in 2010?,What,548
When was the 2015 National Drug Control strategy released?,When,549
What accompanied the 2015 National Drug Control strategy?,What,550
How did the 2015 National Drug Control strategy and an accompanying presidential memorandum encourage the improvement of health and safety using evidence-based methods regarding SUD treatments?,How,551
How was the Interagency Pain Research Coordinating Committee created?,How,552
What was the purpose of  Interagency Pain Research Coordinating Committee?,What,553
When was the Interagency Pain Research Coordinating Committee created?,When,554
What was the tasks of Interagency Pain Research Coordinating Committee?,What,555
Who published the National Pain Strategy?,Who,556
When was the National Pain Strategy published?,When,557
How was the National Pain Strategy published?,How,558
In which areas the National Pain Strategy made recommendations?,Which,559
What was the aim of the National Pain Strategy?,What,560
Which government agencies launched initiatives to improve the study and treatment of pain and  adverse events associated with opioid analgesics?,Which,561
What is SAMHSA?,What,562
When did VA deploy the Opioid Safety Initiative requirements to all Veterans Integrated Service Networks?,When,563
What was the aim of the Opioid Safety Initiative?,What,564
What is OSI?,What,565
What is VISNs?,What,566
In which topics the goals of the OSI is related to?,Which,567
What does the OSI use to identify patients who may be  high-risk for adverse outcomes with use of opioids?,What,568
What does the OSI use to identify providers whose prescribing practices do not  reflect best evidence so that patient care can be improved?,What,569
Why does the OSI use Veterans Health Administration (VHA’s) electronic health record?,Why,570
What does the OSI requirements include?,What,571
What was launched by the VA as part of the OSI?,What,572
What was the purpose of the OEND program?,What,573
What are the components of the OEND program?,What,574
Name two initiatives that are aimed at improving the safe use of opioids? ,Definition/Example,575
What was the purpose of the OSI toolkit?,What,576
Where can the OSI toolkit materials be found? ,Where,577
What is the aim of the patient guide?,What,578
Where can more information be found on the patient guide?,Where,579
Who issued a policy requiring  standardized education and signature informed consent for all patients receiving LOT for non-cancer  pain? ,Who,580
Why did VHA issue a policy requiring  standardized education and signature informed consent for all patients receiving LOT for non-cancer  pain? ,Why,581
When did VHA issue a policy requiring  standardized education and signature informed consent for all patients receiving LOT for non-cancer  pain? ,When,582
What are the requirements in the policy issued by the VHA to further promote safety and patient centered care?,What,583
What was mandated by the presidential memorandum of October 2015?,What,584
Who mandated training on the appropriate and effective prescribing of opioid medications to all employees who are health care professionals?,Who,585
Who mandated training on the appropriate and effective prescribing of opioid medications to all employees who prescribe controlled substances as part of their federal responsibilities and duties?,Who,586
What does the DoD Opioid Prescriber Safety  Training Program include?,What,587
Which training program was launched according to the mandate by the presidential memorandum of October 2015?,Which,588
Who is sponsoring the training and related management support?,Who,589
Where can the DoD Opioid Prescriber Safety  Training Program be found?,Where,590
Who are the targeted individuals for the CDC Guideline for Prescribing Opioids for Chronic Pain?,Who,591
When did the CDC released its Guideline for Prescribing Opioids for Chronic Pain? ,When,592
What is the aim of the CDC Guideline for Prescribing Opioids for Chronic Pain?,What,593
Which topics are covered in the CDC Guideline for Prescribing Opioids for Chronic Pain?,Which,594
Which system is used by the CDC guideline to assign a  grade for the strength for each recommendation? ,Which,595
What does the GRADE system include?,What,596
What is CARA?,What,597
When was CARA enacted?,When,598
What is the aim of CARA?,What,599
What is the primary focus of the CARA?,What,600
Who are the target population for the VA/DoD OT CPG?,Who,601
"Throughout the VA/DoD OT CPG, particular attention is paid regarding which factors?",Which,602
What was the considerations behind the recommendations made in the CPG?,What,603
Mention some differences in the methodology used between the development of the VA/DoD OT CPG and the CDC guideline.,Definition/Example,604
What did the CDC guideline development process include? ,What,605
What are differences in the recommendations between the CDC guideline and the CPG?,What,606
What is the VA/DoD Guideline for Guidelines?,What,607
Define pain according to the VA/DoD CPG.,Definition/Example,608
How to characterize pain as a symptom?,How,609
Which factors can describe and characterize pain as a symptom?,Which,610
Define chronic pain according to the VA/DoD CPG.,Definition/Example,611
Which areas in the CNS are involved in the acute and subacute pain?,Which,612
What is CNS?,What,613
Which areas in the CNS are involved in the chronic pain?,Which,614
What are the causes of chronic pain?,What,615
Which pain can lead to well-localized nociceptive mechanism pain?,Which,616
Which pain could be mechanical or chemical/inflammatory in nature?,Which,617
Which pain may produce a less localized pain?,Which,618
Which pain may lead to poorly localized symptoms?,Which,619
What are some examples of poorly localized symptoms?,What,620
What does a comprehensive pain assessment include?,What,621
What are the elements of the biopsychosocial pain interview?,What,622
What may be experienced by the patients with chronic pain?,What,623
What can be associated with pain severity and the presence of  psychiatric comorbidities?,What,624
Who report psychological complaints more often?,Who,625
What is reported more often by the patients with chronic pain than patients without chronic pain?,What,626
What are some examples of psychological complaints made by patients with chronic pain?,What,627
What are some examples of social and psychological consequences on account of chronic pain?,What,628
What is one of the most common chronic medical conditions in the U.S.?,What,629
What is one of the most costly chronic medical conditions in the U.S.?,What,630
What is one of the most disabling chronic medical conditions in the U.S.?,What,631
How many adults in the U.S. experience chronic pain?,How,632
Since when has there been a significant increment of opioid prescriptions during pain visits?,When,633
"Since when has there been a significant increment of opioid-related morbidity, mortality, overdose death, and SUD treatment admissions?",When,634
What is the ratio of patients with non-cancer pain or pain-related diagnoses who receive opioid prescriptions in office-based settings?,What,635
"What were the changes in the sales of prescription opioids in the U.S. from 1999 and 2014, according to CDC?",What,636
How much has the absolute number of deaths associated with the use of opioids increased since 2000?,How,637
How much has the absolute number of deaths associated with the use of opioids increased from 2013 to 2014?,How,638
How many people died between 1999 and 2015 from overdoses related to prescription opioids?,How,639
What was the increment of the prevalence of opioid prescriptions among Veterans from fiscal years 2004 to 2012?,What,640
Which groups had the highest prevalence of opioid use?,Which,641
"In a sample of non-treatment-seeking members of the military who were interviewed within three months of returning from Afghanistan, how many reported chronic pain?",Who,642
"In a sample of non-treatment-seeking members of the military who were interviewed within three months of returning from Afghanistan, how many reported using opioids?",Who,643
"In Operation Enduring Freedom/Operation Iraqi Freedom (OEF/OIF) Veterans, chronic pain was associated with what?",What,644
"In a study of Veterans with chronic pain who had been on opioids for at least 90 days, how many continued to use opioids one year later?",Who,645
"In a study of Veterans with chronic pain who had been on opioids for at least 90 days, how many continued to use opioids after completion of the 3.5 year follow-up period?",Who,646
"In a study of civilian patients who had been on opioids for at least 90 days, how many remained on opioids through the 4.8 year follow-up period?",Who,647
"Based on the study, which factors influence the rates of opioid-use continuation in Veterans?",Which,648
"Depending on age, marital status, race, and living conditions, who were more likely to continue using opioids?",Who,649
"Among the Veterans, who were more likely to continue their opioid use?",Who,650
"Among the Veterans, who were less likely to continue their opioid use?",Who,651
Who may have different needs or respond to treatment differently than individuals with chronic pain alone?,Who,652
What can be difficult to distinguish from the underlying mechanism of illness?,What,653
What are the risk factors with the greatest impact on the development of opioid-related adverse events?,What,654
Why must the clinician carefully weigh harms and benefits and educate the patient as well as his or her family or caregiver prior to proceeding with treatment?,Why,655
"Why is it important to consider patients’ values and concerns, address misconceptions, express empathy, and fully explain to patients with one or more risk factors that they may not benefit from, and may even be harmed by, treatment with OT?",Why,656
What should be done for patients for whom LOT is initiated?,What,657
"What to do if there is uncertainty about whether the benefits of OT, such as improved function (e.g., return-to-work), outweigh the risks?",What,658
Which conditions significantly increase the risk of adverse outcomes from LOT?,Which,659
What does include severe respiratory instability or sleep disordered breathing?,What,660
Who showed a weak but positive association with opioid-related toxicity/overdose and overdose-related death?,Who,661
What does preclude the safe use of self-administered LOT?,What,662
What was significantly associated with suicide attempts for the chronic use of short-acting and long-acting opioids?,What,663
"In a study of patients on opioids, who had 2.9 times the odds of suicidal ideation within the past 12 months as well as 3.2  times the odds of a lifetime suicide attempt compared to those with no bipolar disorder?",Who,664
What are the odds of suicidal ideation within the past 12 months in those with bipolar disorder compared to those with no bipolar disorder?,What,665
What are the odds of a lifetime suicide attempt in those with bipolar disorder compared to those with no bipolar disorder?,What,666
Where can more information on suicidality be found?,Where,667
Where can more information on bipolar disorder be found?,Where,668
What was associated with depressed mood?,What,669
"Which treatment for chronic pain may have benefits in treating depression, PTSD, and in reducing suicide risk?",Which,670
What can signal an emerging SUD as well as  diversion?,What,671
What can be signalled by frequent requests for early refills required to control pain?,What,672
What can be signalled by frequent requests for atypically large quantities required to control pain?,What,673
"Among patients  being treated by the VHA system that received opioids, what was significantly associated with opioid-related toxicity/overdose compared to no history of  depression?",What,674
"Among patients  being treated by the VHA system that received opioids, a history of depression was  significantly associated with what?",What,675
What has been associated with worsening depressive symptoms?,What,676
LOT has been associated with what kinds of symptoms?,What,677
"Among patients on OT, a prevalence of self inflicted injuries was significantly higher among which patients?",Which,678
"Among patients on OT, what was significantly higher among patients with a history of PTSD as compared to patients with other (or no) mental  health diagnoses?",What,679
Where can more information be found on PTSD?,Where,680
What is a red flag in the presence of which providers should proceed with utmost caution when considering LOT for these patients?,What,681
What should providers carefully rule out and avoid?,What,682
What combinations of drugs are dangerous?,What,683
"Which opioid has unique pharmacodynamic properties that can prolong the QTc interval and precipitate torsades de pointes, a dangerous or fatal cardiac arrhythmia?",Which,684
What is QTc interval?,What,685
What is torsades de pointes?,What,686
Which one is a dangerous or fatal cardiac arrhythmia?,Which,687
What unique properties does methadone have?,What,688
Why are ECGs highly advised before and after initiating methadone?,Why,689
Which patients may be at risk?,Which,690
What should the clinician communicate to patients?,What,691
What is a crime and constitutes an absolute contraindication to prescribing additional medications?,What,692
Why is it important that providers who suspect diversion base treatment plans on objective evidence?,Why,693
On what kind of evidence should the providers who suspect diversion base treatment plans?,What,694
How to confirm suspicions regarding drug diversion?,How,695
What could also by itself be a sign of diversion?,What,696
What may not reliably detect synthetic or semi-synthetic opioids?,What,697
What are some examples of synthetic opioids?,What,698
What are some examples of semi-synthetic opioids?,What,699
What to do when there is evidence that the patient is diverting opioids?,What,700
"When may consultation with a pain specialist, psychiatrist, or SUD specialist be warranted?",When,701
When to consider consultation with local risk management and/or counsel?,When,702
What to keep in mind for patients with OUD?,What,703
When may serious harm occur in patients?,When,704
It is inadvisable to prescribe opioids to which patients?,Which,705
What do opioids do to the bowel?,What,706
How can the use of opioids affect patients with impaired bowel motility?,How,707
What is an ineffective treatment modality for patients with migraine headaches (with or without aura)?,What,708
What is an ineffective treatment modality for patients with tension-type headaches?,What,709
What is an ineffective treatment modality for patients with occipital neuralgia?,What,710
What is an ineffective treatment modality for patients with myofascial pain?,What,711
"What is an ineffective treatment modality for patients with migraine headaches (with or without aura), tension-type headaches, occipital neuralgia, or myofascial pain?",What,712
LOT is an ineffective treatment modality for patients with what kind of headaches?,What,713
"How may LOT affect patients with migraine headaches, tension-type headaches, occipital neuralgia, or myofascial pain?",How,714
"What treatment modality may result in worsening of the underlying headache condition in patients with migraine headaches, tension-type headaches, occipital neuralgia, or myofascial pain?",What,715
Who are more likely to attempt suicide?,Who,716
Why does Morphine frequently cause itching?,Why,717
What is an example of true allergy to opioid agents?,What,718
When may a consultation with an allergist be helpful?,When,719
What to do when an opioid allergy is present and OT is being considered?,What,720
What is the recommendation regarding initiation of long-term opioid therapy for chronic pain?,What,721
What is the stance regarding alternatives to opioid therapy such as self-management strategies and other non-pharmacological treatments?,What,722
When should non-opioids be recommended over opioids?,When,723
What are some alternatives to opioid therapy?,What,724
Why non-opioid  treatments are preferred for chronic pain?,Why,725
"In the literature review conducted for this CPG, is there any study evaluating the effectiveness of LOT for outcomes lasting longer than 16 weeks?",Is there,726
What must be factored into clinical decision making on a case-by-case basis?,What,727
What needs to be considered when considering the initiation or continuation of LOT?,What,728
What does the literature say about the the benefit of LOT?,What,729
What to do if a  decision is made to initiate LOT?,What,730
What kind of treatment plan should be integrated into the patient’s care prrior to considering LOT?,What,731
What to do once opioid therapy is initiated?,What,732
"Why did the National Academy of Medicine investigated and reported on the state of pain research, treatment, and  education in the U.S. in 2011?",Why,733
"In response to the recognition of pain and its management as a public health problem in 2011, who investigated and reported on the state of pain research, treatment, and  education in the U.S.?",Who,734
"In response to the recognition of pain and its management as a public health problem in 2011, what was investigated and reported by the National Academy of Medicine?",What,735
"What was the impact of the report on the state of pain research, treatment, and  education in the U.S. by the National Academy of Medicine in 2011?",What,736
What does the U.S. Department of Health and Human Services (HHS) National Pain Strategy  (March 2016) recommend?,What,737
Who does recommend a biopsychosocial approach to pain care that is multimodal and interdisciplinary?,Who,738
What are included in the underlying concepts of the biopsychosocial model of pain?,What,739
What have been found to be effective for pain reduction in multiple pain conditions?,What,740
What do psychological therapies help?,What,741
What are some examples of psychological therapies?,What,742
What kind of treatments can be beneficial for reducing pain intensity and disability  when compared to usual care in the treatment of chronic pain condition?,What,743
How do exercise and  psychological therapies help reduce pain intensity and disability?,How,744
What kind of intervention has been  shown to be more effective than usual care in improving pain and disability?,What,745
What is multidisciplinary biopsychosocial rehabilitation?,What,746
Which interventions are safe and have not been shown to increase morbidity or mortality?,Which,747
Which treatments should be offered to all patients with chronic pain including those currently receiving LOT?,Which,748
Which treatments are preferred over LOT?,Which,749
Why exercise and psychological therapies should be offered to all patients with chronic pain including  those currently receiving LOT?,Why,750
Why exercise and psychological therapies are preferred over LOT?,Why,751
What evidence is there to recommend psychological over physical therapies or vice versa?,What,752
How to choose between psychological and physical therapies as a first-try?,How,753
"In addition to non-pharmacological therapies, what should be tried and optimized before consideration of opioid medications?",What,754
What is an example of opioid medications?,What,755
What should be considered for non-opioid pharmacologic agents?,What,756
Why should the potential contraindications and long-term  risks of use be considered for non-opioid pharmacologic agents as well?,Why,757
To which modalities should the patient have access?,Which,758
What should be exhausted before consideration of LOT?,What,759
What may help determine earlier in the course of treatment which patients are most likely to  benefit from a specific non-pharmacologic therapy or non opioid pharmacologic therapies alone or as part of a multimodal approach?,What,760
What timeframe is recommended if prescribing opioid therapy for patients with chronic pain?,What,761
What does require re-evaluation and discussion with patient of risks and benefits?,What,762
What is required when considering opioid therapy beyond 90 days?,What,763
What is recommended for patients currently on long-term opioid therapy?,What,764
For whom ongoing risk mitigation strategies are recommended?,Who,765
For whom assessment for opioid use disorder is recommended?,Who,766
For whom consideration for tapering when risks exceed benefits is recommended?,When,767
"For whom ongoing risk mitigation strategies, assessment for opioid use disorder, and consideration for tapering when risks exceed benefits are recommended?",When,768
What is the utmost concern for patients who receive OT beyond 90 days?,What,769
What should be weighed heavily in the risk benefit calculus for LOT?,What,770
What is not an absolute contraindication to LOT?,What,771
What must be determined through individual clinical assessment?,What,772
How to determine the situations where the benefits of LOT clearly outweigh the risks?,How,773
To what the prevalence of OUD in patients with CNCP is related?,What,774
Which one is the strongest predictor of developing OUD among opioid dose and duration of OT?,Which,775
When is the relationship between OUD and duration of therapy magnified?,When,776
What to inform patient regarding progression from acute to long-term OT?,What,777
What is associated with little evidence for sustained analgesic efficacy but a substantial increase in risk for OUD?,What,778
What information should be discussed with patients at initiation of OT and continuously thereafter?,What,779
When should the providers discuss with patients that progression from acute to long-term OT is associated with little evidence  for sustained analgesic efficacy but a substantial increase in risk for OUD?,When,780
Why should the providers discuss with patients that progression from acute to long-term OT is associated with little evidence  for sustained analgesic efficacy but a substantial increase in risk for OUD?,Why,781
What is necessary to more accurately determine how long it takes for OUD to occur and whether the  nature of the pain is one of the factors that can influence either of this phenomena?,What,782
What is necessary to more accurately determine how long it takes for OUD to occur?,What,783
What can be determined more accurately by research?,What,784
What is the stance regarding long-term opioid therapy for pain in patients with untreated substance use disorder?,What,785
"For which patients close monitoring, including engagement in substance use disorder treatment, and discontinuation of opioid therapy for pain with appropriate tapering are recommended?",Which,786
What is recommended for patients currently on long-term opioid therapy with evidence of untreated substance use  disorder?,What,787
Opioids carry a significant risk for what?,What,788
"What does carry a significant risk for OUD, overdose, and death, especially among patients with untreated  SUD?",What,789
The recommendation against LOT for patients with SUD does not refer to which patients?,Which,790
Who had higher rates  of OUD?,Who,791
What was associated with 28 times increased  odds of therapeutic opioid addiction compared to patients with CNCP without a lifetime history of SUD?,What,792
The presence of a lifetime history of SUD for patients with CNCP was associated with what?,What,793
Who may disagree with the recommendation to use non-opioid modalities in lieu of LOT to treat their pain?,Who,794
Some patients with SUD may disagree with what?,What,795
What outweigh any potential  modest benefit of prescribing LOT in this population?,What,796
Where can the guidance on management of SUD be found?,Where,797
Why is future research needed to optimize care for chronic-pain patients with and without cannabis use?,Why,798
What is the stance regarding the concurrent use of benzodiazepines and opioids?,What,799
For whom to consider tapering one or both benzodiazepines and opioids when risks exceed benefits and obtaining specialty consultation as appropriate?,When,800
What to consider for patients currently on long-term opioid therapy and benzodiazepines?,What,801
What is the relationship between harms and benefits for the concurrent use of benzodiazepines and LOT?,What,802
What increases the risk of overdose and overdose death?,What,803
What is the effect of concurrent use of benzodiazepines with prescription opioids?,What,804
What was highest for individuals on LOT for chronic pain (without anxiety or PTSD) who also received  concurrent long-term benzodiazepine therapy?,What,805
Who has the highest adjusted odds ratio (AOR) for drug  overdose?,Who,806
Who were at an increased risk of death from drug overdose?,Who,807
Veterans receiving both opioids and benzodiazepines were at an increased risk of what?,What,808
What is a serious risk factor for unintentional overdose death?,What,809
What kind of risk is associated with concurrent benzodiazepine and LOT use?,What,810
What should be weighed heavily in the risk-benefit evaluation for tapering versus continuing one or both agents?,What,811
"What can be challenging to discontinue due to symptoms related to benzodiazepine dependence, exacerbations of PTSD, and/or anxiety?",What,812
Why can benzodiazepines be challenging to discontinue once initiated?,Why,813
What should be avoided?,What,814
What kind of discontinuation of benzodiazepines should be avoided?,What,815
Why should abrupt discontinuation of benzodiazepines be avoided?,Why,816
How to perform tapering of benzodiazepines?,How,817
What should be performed with caution and within a team environment when possible?,What,818
Why should particular caution be used when considering initiating benzodiazepines for Veterans with PTSD who have co-occurring chronic pain?,Why,819
"Due to the difficulty of tapering or discontinuing benzodiazepines, what should be done when considering initiating benzodiazepines for Veterans with PTSD who have co-occurring chronic pain?",What,820
For whom particular caution should be used when considering initiating benzodiazepines due to the difficulty of tapering or discontinuing benzodiazepines?,When,821
What does recommend against benzodiazepines for the prevention of PTSD?,What,822
What is the stance regarding the use of benzodiazepines for the prevention of PTSD?,What,823
What does caution against the use of benzodiazepines in treatment of PTSD?,What,824
What are associated with a higher incidence of PTSD symptoms?,What,825
Benzodiazepines to treat acute anxiety symptoms after trauma are associated with what?,What,826
What is the effect of benzodiazepines in patients with PTSD?,What,827
What may gradual benzodiazepine taper result in?,What,828
Exacerbation of severe PTSD symptoms may result from what?,What,829
What is considered a contraindication to initiation of OT?,What,830
"In addition to benzodiazepines, what to do with caution?",What,831
What is not as strong as the evidence for harm associated with the combination of  opioids and benzodiazepines?,What,832
What does increase the AOR of  overdose?,What,833
The combination of zolpidem and opioids increases what?,What,834
What can happen with the combined use of antidepressants and opioids in patients who do not have depression?,What,835
What can have potential adverse outcomes in patients who do not have depression?,What,836
Who can have potential adverse outcomes with the combined use of antidepressants and opioids?,Who,837
What is the stance regarding long-term opioid therapy for patients less than 30 years of age  secondary to higher risk of opioid use disorder and overdose?,What,838
What is recommended for patients less than 30 years of age currently on long-term opioid therapy?,What,839
Who are at risk for OUD and overdose?,Who,840
Which patients are especially at risk for OUD and overdose?,Which,841
All patients who take opioids chronically are at risk for what?,What,842
"How many studies examined age as a predictor of OUD,  respiratory/CNS depression, and/or overdose?",How,843
What should be weighed heavily in the risk-benefit determination for initiating LOT?,What,844
What is not an absolute contraindication to LOT?,What,845
"Who are known to have less chronic pain, depression, and  PTSD when their pain is aggressively managed starting soon after injury?",Who,846
When may LOT be appropriate?,When,847
Who have an added great risk for OUD and overdose?,Who,848
Who did carry 11 times the odds of OUD and overdose compared to patients ≥65 years old?,Who,849
"Compared to whom, patients 18-30 years old carried 11 times the odds of OUD  and overdose?",Who,850
"Compared to patients ≥65 years old, patients 18-30 years old carried how many times the odds of OUD  and overdose?",How,851
Who did carry 5 times the odds of OUD and overdose compared to patients ≥65 years old?,Who,852
"Compared to whom, patients 31-40 years old carried 5 times the odds of OUD and overdose?",Who,853
"Compared to patients ≥65 years old, patients 31-40 years old carried how many times the odds of OUD  and overdose?",How,854
Who had roughly half the risk of developing OUD or overdose compared to subjects 18-29 years old?,Who,855
"Compared to whom, patients 30-39  years old had roughly half the risk of developing OUD or overdose?",Who,856
What was the amount of risk of developing OUD or overdose in patients 30-39  years old compared to subjects 18-29 years old?,What,857
Who had far less risk of developing OUD or overdose compared to subjects 18-29 years old?,Who,858
"Compared to whom, patients ≥70 years old had far less risk of developing OUD or overdose?",Who,859
What was the amount of risk of developing OUD or overdose in patients ≥70 years old compared to subjects 18-29 years old?,What,860
Who are at a higher risk of opioid misuse?,Who,861
Younger patients are at a higher risk of what?,What,862
Who were significantly less likely to have an aberrant UDT in comparison to patients in the 20-44 age  group?,Who,863
"In comparison to patients in the 20-44 age  group, patients in the 45-64 year age group were significantly less likely to have what?",What,864
"Patients in the 45-64 year age group were significantly less likely to have an aberrant UDT (detection of a non-prescribed opioid, non-prescribed  benzodiazepine, illicit drug, or tetrahydrocannabinol [THC]) in comparison to whom?",Who,865
Who were significantly less likely than 20-44 year olds to have non-detection of a prescribed opioid (indicating possible diversion)?,Who,866
Patients in the 45-64 and ≥65 age groups were significantly less likely than whom to  have non-detection of a prescribed opioid (indicating possible diversion)?,Who,867
What are significantly less likely in patients in the 45-64 and ≥65 age groups than 20-44 year olds?,What,868
How was an age of 30 years chosen as a clinically reasonable threshold?,How,869
What kind of rationale is there to explain the the relationship between age and OUD and overdose?,What,870
What indicate that developing brains (age <30 years) are at increased risk of abnormalities and  addiction when exposed to substance use early in life?,What,871
What are at increased risk of abnormalities and  addiction when exposed to substance use early in life?,What,872
What are the risks of substance use early in life?,What,873
What can be a continuous predictor of adverse outcomes?,What,874
What is recommended upon initiation of long-term opioid  therapy?,What,875
How to implement risk mitigation strategies upon initiation of long-term opioid  therapy?,How,876
What should be commensurate with risk factors?,What,877
What should be included in the risk mitigation strategies and their frequency?,What,878
When should risk mitigation for LOT begin?,When,879
What should be done before the opioids are prescribed?,What,880
How should risk mitigation for LOT begin before the opioids are prescribed?,How,881
When should risk mitigation for LOT occur?,When,882
What was the recommendation in the 2010 OT CPG?,What,883
Is there any study looking at opioid treatment agreements  (OTAs)?,Is there,884
What kind of evidence is there to support the use of OTAs and UDT?,What,885
What is OTAs?,What,886
What is the relationship between patient values and preferences?,What,887
There may be some variation in what?,What,888
What does implementing more extensive risk mitigation strategies entail?,What,889
Why may primary care providers require more time with patients?,Why,890
What would happen if there were a more frequent follow-up of patients on LOT?,What,891
What must VHA providers follow when providing LOT for patients with non-cancer pain?,What,892
When must VHA providers follow VHA policy regarding education and signature informed consent?,When,893
Who must follow VHA policy regarding education and signature informed consent when providing LOT for patients with non-cancer pain?,Who,894
What did the 2010 OT CPG reflect?,What,895
How have OTAs been described in the 2010 OT CPG?,How,896
"Why should an optimal approach to care should include a robust,  signature informed consent process?",Why,897
"Given the recognized risks of opioid therapy, what should be included in an optimal approach to care?",What,898
"Given the recognized risks of opioid therapy, what should include a robust,  signature informed consent process?",What,899
What did VA establish in 2014 regarding OT and treatment alternatives?,What,900
What may patients decline?,What,901
What are used throughout the country for detection of multi-sourcing of controlled substances?,What,902
For what purpose state database queries are used throughout the country?,What,903
"According to CDC, how often the state database system needs to be checked?",How,904
Who recommends at least quarterly checks of the state database system?,Who,905
"According to CDC, what needs to be checked at least quarterly?",What,906
Why is UDT and confirmatory testing used as an additional method of examining for patient substance misuse and adherence to the  prescribed regimen?,Why,907
What do UDTs do when used appropriately?,What,908
What is critical due to the false positive and negative rates associated with UDTs?,What,909
"Availability of accurate and timely confirmatory testing (e.g., gas chromatography-mass spectrometry  [GCMS]) is critical due to what?",What,910
What does require education and knowledge of the local procedures and clinical  scenario?,What,911
What is required by the interpretation of a UDT and confirmatory results?,What,912
What can identify active SUD or possible diversion?,What,913
What can UDT results do?,What,914
What should clinicians obtain prior to initiating or continuing LOT and periodically thereafter?,What,915
When should clinicians obtain UDT?,When,916
What should be done when a patient is referred for  SUD treatment or is engaged in on-going treatment?,What,917
What is the format of the ideal approach to communicate between the  SUD and pain management providers when a patient is referred for  SUD treatment or is engaged in ongoing treatment?,What,918
What is a life-saving measure following opioid overdose?,What,919
When to administer Naloxone?,When,920
"Is there any evidence that take-home naloxone programs are effective in improving overdose survival and decreasing mortality, with a low rate of adverse events?",Is there,921
What has reduced opioid-related emergency department visits?,What,922
Who supports the distribution of naloxone for the reversal?,Who,923
Who facilitates the distribution of naloxone for the reversal?,Who,924
