title,context,question,answer
Module D: Patients Currently on Opioid Therapy,"Factors requiring immediate attention and possible discontinuation are untreated SUD, unstable mental health disorder, medical condition that acutely increases opioid risks, other factors that acutely increase risk of overdose, acutely elevated suicide risk. Medical conditions that acutely increase opioid risks can be compromised or worsening cognitive or cardiopulmonary status. Other factors that acutely increase risk of overdose can be recent overdose, current sedation, recent motor vehicle accident. The risks of continuing opioid therapy are as follows: increase in all-cause mortality, increase risk of unintentional overdose death, increase risk of developing OUD, risk of developing or worsening depression, falls, fractures, sleep disordered breathing, worsening pain, motor vehicle accidents hypogonadism, prolonged pain, nausea, constipation, dry mouth, sedation, cognitive dysfunction, immune system dysfunction, reduction in function, reduction in quality of life. The benefits of continuing opioid therapy are modest short-term improvement in pain, possible short-term improvement in function. Some talking points for education and re-education for patients currently on OT are “Doctors used to think that opioids were safe and effective when used for long periods of time to treat chronic pain.”, “New information has taught us that long-term opioid use can lead to multiple problems including loss of pain relieving effects, increased pain, unintentional death, OUD, and problems with sleep, mood, hormonal dysfunction, and immune dysfunction,”, “We now know that the best treatments for chronic pain are not opioids. The best treatments for chronic pain are non-drug treatments such as psychological therapies and rehabilitation therapies and non-opioid medications.”.",Which factors require immediate attention and possible discontinuation?,"untreated SUD, unstable mental health disorder, medical condition that acutely increases opioid risks, other factors that acutely increase risk of overdose, acutely elevated suicide risk"
Module B: Treatment with Opioid Therapy,"Necessary risk mitigation strategies are OEND, UDT, PDMP, face-to-face follow-up with frequency determined by risk. Indications for tapering and discontinuation are as follows: risks of OT outweigh benefits, patient preference, diversion. Risks of opioid therapy outweigh benefits when there is lack of clinically meaningful improvement in function, concomitant use of medications that increase risk of overdose, co-occurring medical or mental health conditions that increase risk, concerns about OUD or other SUD, patient con-compliance with opioid safety measures and opioid risk mitigation strategies, patient non-participation in a comprehensive pain care plan, prescribed dose higher than the maximal recommended dose, pain condition not effectively treated with opioids (e.g., back pain with normal MRI; fibromyalgia), medical or mental health comorbidities that increase risk, improvement in the underlying pain condition being treated, unmanageable side effects. Factors that may indicate need for more frequent follow-up are non-adherence to comprehensive pain care plan, unexpected UDT and PDMP results, non-adherence to opioid prescription, higher risk medication characteristics, patients with mental health, medical, or SUD comorbidities that increase risk for adverse outcomes. A factor that can help identify non-adherence to a comprehensive pain care plan can be attendance at appointments. Examples of non-adherence to opioid prescription include using more than prescribed and/or running out late. Higher risk medication can be high-dose opioids, combination of opioids and benzodiazepines. MEDD refers to morphine equivalent daily dose; MRI refers to magnetic resonance imaging; OEND refers to Overdose Education and Naloxone Distribution.",What is MEDD?,morphine equivalent daily dose
How to Use This Clinical Practice Guideline,"This guideline is not intended as a standard of care and should not be used as such. Standards of care are determined on the basis of all clinical data available for an individual case and are subject to change as scientific knowledge and technology advances and patterns evolve. Today there is variation among state regulations, and this guideline does not cover the variety of ever-changing state regulations that may be pertinent. The ultimate judgement regarding a particular clinical procedure or treatment course must be made by the individual clinician, in light of the patient’s clinical presentation, patient preferences, and the available diagnostic and treatment options. As noted previously, the guideline can assist care providers, but the use of a CPG must always be considered as a recommendation, within the context of a provider’s clinical judgment and patient values and preferences, in the care for an individual patient.",The use of a CPG must always be considered as what?,"a recommendation, within the context of a provider’s clinical judgment and patient values and preferences, in the care for an individual patient."
Pain Management Opioid Taper Decision Tool,"Follow-up for tapering should be done with PACT Team. Follow-up for tapering is recommended to be a team function with various team members taking on roles in which they have demonstrated specific competencies. Mental health practitioners may need to be included in the follow-up plan. During the slowest taper, follow up with the Veteran 1 to 4 weeks after starting taper then monthly before each reduction. During the slower taper, follow up with the Veteran 1 to 4 weeks after starting taper then monthly before each reduction. During the faster taper, follow up with the Veteran weekly before each dose reduction. During the rapid taper, follow up with the Veteran daily before each dose reduction or if available offer inpatient admission. The follow-up during the slowest, slower, and faster tapering can be done in the clinic and/or over telephone. The follow-up during the rapid tapering can be done in the hospital, clinic or over telephone. Providers will need to determine whether a telephone or in-clinic appointment is appropriate based on the risk category of the Veteran. A Veteran with high risk due to a medical condition may have decompensation during the taper and may require a clinic visit over telephone follow-up. If there are issues with the Veteran obtaining outside prescriptions or they are displaying other aberrant behaviors during the taper, providing follow-up in a clinic visit may be more optimal than a telephone visit. Follow up on patient function, pain intensity, sleep, physical activity, personal goals, and stress level.",Where to follow up with the Veteran during the slower taper?,in the clinic and/or over telephone
Module C: Tapering or Discontinuation of Opioid Therapy,"Module C is on tapering or discontinuation of opioid therapy. If there is indication to taper to reduced dose or taper to discontinuation, repeat comprehensive biopsychosocial assessment. Then see if the patient demonstrates signs or symptoms of SUD. If the patient demonstrates signs or symptoms of SUD, then see whether the patient is willing to engage in SUD therapy. If the patient is willing to engage in SUD therapy, then access specialized SUD care with monitoring and follow-up appropriate for the patient’s needs (e.g., MAT, treatment for comorbidities), see VA/DoD SUD CPG, exit algorithms and manage with non-opioid modalities. If the patient does not demonstrate signs or symptoms of SUD, then look for evidence of diversion. If there is evidence of diversion, then immediately discontinue opioid therapy. If there is  no evidence of diversion, then look for high risk or dangerous behavior. High risk or dangerous behavior includes overdose events, accidents, and threatening providers. If there is high risk or dangerous behavior or the patient is not willing to engage in SUD therapy or immediately after discontinuing OT, then address safety and misuse, assess for withdrawal symptoms and offer expedited taper, immediate discontinuation, or detox as indicated, continue to monitor for SUD and mental health comorbidities and offer treatment as indicated, exit algorithm and manage with non-opioid modalities. If there is no high risk or dangerous behavior, then develop an individualized tapering treatment plan (including pace of tapering, setting of care) based on patient and treatment characteristics. Follow-up 1 week to 1 month after each change in dosage and after discontinuation considering patient and treatment characteristics. At each interaction with patient, consider the following: educate on self-management and risks of OT, optimize whole person approach to pain care, optimize treatment of co-occurring mental health conditions, optimize non-opioid pain treatment modalities, reassess for OUD and readiness for OUD treatment as indicated. If the patient is resistant to taper or there is high risk or dangerous behaviors or there is an increase in patient distress, then repeat comprehensive biopsychosocial assessment. See if an SUD is identified. If an SUD is identified, then find out if the patient is willing to engage in SUD therapy. If an SUD is not identified and there is use of opioids to modulate emotions (i.e., “chemical coping”) or an untreated or undertreated psychiatric disorder, then engage the patient in appropriate behavioral and/or psychiatric treatment, ideally in an interdisciplinary setting. Consider reduced rate of taper or pause in taper for patients actively engaged in skills training. If the patient is fearful and/or anxious about taper and ability to function on lower dose or without opioids, then provide additional education about whole person pain care and LOT and reassurance that the patient will not be abandoned. Consider more frequent follow-up using the expanded care team, consider reduced rate of taper or pause in taper for patients actively engaged in skills training, reassess for OUD throughout the taper. Expanded care team includes registered nurse, clinical pharmacist, health coach, and mental health provider. If there is concern for diversion, then immediately discontinue opioid therapy. If there is no concern for diversion, then follow-up 1 week to 1 month after each change in dosage.",What is Module C about?,tapering or discontinuation of opioid therapy
Module A: Determination of Appropriateness for Opioid Therapy,"The components of biopsychosocial assessment are pain assessment, patient functional goals, impact of pain on family, work, life, review of previous diagnostic studies, additional consultations and referrals, coexisting illness and treatments and effect on pain, significant psychological, social, or behavioral factors that may affect treatment, family history of chronic pain, collateral of family involvement, patient beliefs/knowledge of the cause of their pain and their treatment preferences along with the perceived efficacy of various treatment options. For patients already on OT, include assessment of psychological factors related to continuing vs. tapering OT. The psychological factors are beliefs, expectations, fears. Pain assessment includes history, physical exam, comorbidities, previous treatment and medications, duration of symptoms, onset and triggers. Examples of absolute contraindications to initiating opioid therapy for chronic pain are true life-threatening allergy to opioids, active SUD, elevated suicide risk, concomitant use of benzodiazepines. LOT refers to long-term opioid therapy; OT refers to opioid therapy; PDMP refers to Prescription Drug Monitoring Program; SUD refers to substance use disorder; UDT refers to urine drug test; VA/DoD Suicide CPG refers to VA/DoD Clinical Practice Guideline for the Assessment and Management of Patients at Risk for Suicide.",What is LOT?,long-term opioid therapy
Paradigm Shift in Pain and Its Treatment,"The U.S. is in the midst of a cultural transformation in the way pain is viewed and treated. The biomedical model of pain care, in which the pain experience is reduced to a pain generator and pain treatment is aimed at fixing or numbing pain with medications, interventions, or surgery, dominated the 1990s and the first decade of the 2000s. As the cost, potential harm, and limited effectiveness of the approach in the biomedical model of pain care to chronic pain was becoming apparent, the National Academy of Medicine issued a call for the transformation of pain care to a biopsychosocial, multimodal, interdisciplinary model.",In which way the U.S. is in the midst of cultural transformation?,in the way pain is viewed and treated
Pain Management Opioid Taper Decision Tool,"Faster Taper is done over weeks. In faster taper, reduce opioid by 10 to 20% every week.  An example of the faster taper is given below. During the first week in the faster taper, 16% reduction of morphine SR 90 mg Q8h = 270 MEDD consists of 75 mg SR Q8h. The subsequent weekly dosage for the faster taper is 60 mg SR (15 mg x 4) Q8h for week 2, 45 mg SR (15 mg x 3) Q8h for week 3, 30 mg SR (15 mg x 2) Q8h for week 4, 15 mg SR Q8h for week 5, 15 mg SR Q12h for week 6, 15 mg SR QHS x 7 days for week 7. Stop faster tapering after week 7 and may consider morphine IR 15 mg ½ tablet (7.5 mg) twice daily.",How much opioid to reduce in the faster taper?,10 to 20% every week
Algorithm,"This CPG follows an algorithm that is designed to facilitate understanding of the clinical pathway and decision making process used in management of LOT. The use of the algorithm format as a way to represent patient management was chosen based on the understanding that such a format may promote more efficient diagnostic and therapeutic decision making and has the potential to change patterns of resource use. Although the Work Group recognizes that not all clinical practices are linear, the simplified linear approach depicted through the algorithm and its format allows the provider to assess the critical information needed at the major decision points in the clinical process. It includes an ordered sequence of steps of care, recommended observations and examinations, decisions to be considered, actions to be taken.",What does the algorithm include?,"an ordered sequence of steps of care, recommended observations and examinations, decisions to be considered, actions to be taken"
Pain Management Opioid Taper Decision Tool,"Use a shared decision-making approach to discuss options for OUD treatment. Medication-Assisted Therapy (MAT) is the first-line treatment for OUD. The preferred OUD treatment is Opioid Agonist Therapy (OAT). Opioid agonist treatment involves taking opioid agonist medications such as buprenorphine/naloxone (Suboxone) or methadone. Methadone must be provided through a federally regulated opioid treatment program for OUD therapy. The alternative OUD treatment is extended-release (ER) injectable naltrexone (Vivitrol). MAT can be provided in a variety of treatment settings including residential SUD treatment, intensive outpatient SUD treatment, regular SUD specialty care clinic, primary care or general mental health clinic, or federally regulated opioid treatment program. Moral injury is an act of transgression that leads to serious inner conflict typically brought on by betrayal, disproportionate violence, incidents involving civilians, within-rank violence. For moral injury, treatment via psychologists or chaplains is available. Central sensitization (e .g., fibromyalgia, chronic headaches, and likely many other types of complex chronic pain). Some examples of medical complications are lung disease, hepatic disease, renal disease, or fall risk. Sleep apnea is a sleep disorder.",What is the preferred OUD treatment?,Opioid Agonist Therapy (OAT)
Pain Management Opioid Taper Decision Tool,"Follow up in the first 1 to 4 weeks of taper. If Veteran feels supported and is adjusting to the dose reduction, continue the strategy of reducing to morphine SR 30 mg every 8 hours, follow up in 1 to 4 weeks to determine the next step in the taper. If Veteran strongly resists reduction, then request mental health support and consider the possibility of OUD. If the Veteran is resisting further dose reductions, explore the reason for the reluctance. The reasons for the reluctance can be medical (increased pain), mental health (worsening depression, anxiety, etc.), and substance use disorder (SUD)/opioid use disorder (OUD). Refer to OUD Provider Education Guide on VA PBM Academic Detailing SharePoint for more information. https://vaww.portal2.va.gov/sites/ad/SitePages/OUD.aspx . If safe, remain at morphine SR 45 mg every 8 hours for 1 to 2 months then reassess. If possible, the Veteran should be actively involved in skills training and/or have a comprehensive pain care plan. At each step in the taper, review the risk of the taper vs. the benefit of remaining at the current dose, and if necessary, adjust the speed of the taper according to the response of the Veteran.",What to review at each step in the taper?,review the risk of the taper vs. the benefit of remaining at the current dose
Module C: Tapering or Discontinuation of Opioid Therapy,"Module C is on tapering or discontinuation of opioid therapy. If there is indication to taper to reduced dose or taper to discontinuation, repeat comprehensive biopsychosocial assessment. Then see if the patient demonstrates signs or symptoms of SUD. If the patient demonstrates signs or symptoms of SUD, then see whether the patient is willing to engage in SUD therapy. If the patient is willing to engage in SUD therapy, then access specialized SUD care with monitoring and follow-up appropriate for the patient’s needs (e.g., MAT, treatment for comorbidities), see VA/DoD SUD CPG, exit algorithms and manage with non-opioid modalities. If the patient does not demonstrate signs or symptoms of SUD, then look for evidence of diversion. If there is evidence of diversion, then immediately discontinue opioid therapy. If there is  no evidence of diversion, then look for high risk or dangerous behavior. High risk or dangerous behavior includes overdose events, accidents, and threatening providers. If there is high risk or dangerous behavior or the patient is not willing to engage in SUD therapy or immediately after discontinuing OT, then address safety and misuse, assess for withdrawal symptoms and offer expedited taper, immediate discontinuation, or detox as indicated, continue to monitor for SUD and mental health comorbidities and offer treatment as indicated, exit algorithm and manage with non-opioid modalities. If there is no high risk or dangerous behavior, then develop an individualized tapering treatment plan (including pace of tapering, setting of care) based on patient and treatment characteristics. Follow-up 1 week to 1 month after each change in dosage and after discontinuation considering patient and treatment characteristics. At each interaction with patient, consider the following: educate on self-management and risks of OT, optimize whole person approach to pain care, optimize treatment of co-occurring mental health conditions, optimize non-opioid pain treatment modalities, reassess for OUD and readiness for OUD treatment as indicated. If the patient is resistant to taper or there is high risk or dangerous behaviors or there is an increase in patient distress, then repeat comprehensive biopsychosocial assessment. See if an SUD is identified. If an SUD is identified, then find out if the patient is willing to engage in SUD therapy. If an SUD is not identified and there is use of opioids to modulate emotions (i.e., “chemical coping”) or an untreated or undertreated psychiatric disorder, then engage the patient in appropriate behavioral and/or psychiatric treatment, ideally in an interdisciplinary setting. Consider reduced rate of taper or pause in taper for patients actively engaged in skills training. If the patient is fearful and/or anxious about taper and ability to function on lower dose or without opioids, then provide additional education about whole person pain care and LOT and reassurance that the patient will not be abandoned. Consider more frequent follow-up using the expanded care team, consider reduced rate of taper or pause in taper for patients actively engaged in skills training, reassess for OUD throughout the taper. Expanded care team includes registered nurse, clinical pharmacist, health coach, and mental health provider. If there is concern for diversion, then immediately discontinue opioid therapy. If there is no concern for diversion, then follow-up 1 week to 1 month after each change in dosage.",Consider reduced rate of taper or pause in taper for whom?,patients actively engaged in skills training
Qualifying Statements,The Department of Veterans Affairs and the Department of Defense guidelines are based upon the best information available at the time of publication. They are designed to provide information and assist decision making. They are not intended to define a standard of care and should not be construed as one. Neither should they be interpreted as prescribing an exclusive course of management.,What is not the intention of the guideline?,define a standard of care 
Pain Management Opioid Taper Decision Tool,"Use a shared decision-making approach to discuss options for OUD treatment. Medication-Assisted Therapy (MAT) is the first-line treatment for OUD. The preferred OUD treatment is Opioid Agonist Therapy (OAT). Opioid agonist treatment involves taking opioid agonist medications such as buprenorphine/naloxone (Suboxone) or methadone. Methadone must be provided through a federally regulated opioid treatment program for OUD therapy. The alternative OUD treatment is extended-release (ER) injectable naltrexone (Vivitrol). MAT can be provided in a variety of treatment settings including residential SUD treatment, intensive outpatient SUD treatment, regular SUD specialty care clinic, primary care or general mental health clinic, or federally regulated opioid treatment program. Moral injury is an act of transgression that leads to serious inner conflict typically brought on by betrayal, disproportionate violence, incidents involving civilians, within-rank violence. For moral injury, treatment via psychologists or chaplains is available. Central sensitization (e .g., fibromyalgia, chronic headaches, and likely many other types of complex chronic pain). Some examples of medical complications are lung disease, hepatic disease, renal disease, or fall risk. Sleep apnea is a sleep disorder.",What can cause moral injury?,"betrayal, disproportionate violence, incidents involving civilians, within-rank violence"
Pain Management Opioid Taper Decision Tool,"Slowest taper is done over years. In the slowest taper, reduce opioid by 2 to 10% every 4 to 8 weeks with pauses in taper as needed. Consider the slowest taper for patients taking high doses of long-acting opioids for many years. An example of the slowest taper is given below. During the first month in the slowest taper, 5% reduction of morphine SR 90 mg Q8h = 270 MEDD consists of 90 mg SR qam, 75 mg for noon, 90 mg qpm. Continue the taper based on Veteran response. Pauses in the taper may allow the patient time to acquire new skills for management of pain and emotional distress while allowing for neurobiological equilibration. The subsequent monthly dosage for the slowest taper is 75 mg SR qam, 75 mg noon, 90 mg qpm for month 2; 75 mg SR (60 mg+15 mg) Q8h for month 3; 75 mg SR qam, 60 mg noon, 75 mg qpm for month 4; 60 mg SR qam, 60 mg noon, 75 mg qpm for month 5; 60 mg SR Q8h for month 6; 60 mg SR qam, 45 mg noon, 60 mg qpm for month 7; 45 mg SR qam, 45 mg noon, 60 mg qpm for month 8; 45 mg SR Q8h for month 9. Continue following this rate of taper until off the morphine or the desired dose of opioid is reached.","When reducing 5% of morphine SR 90 mg Q8h = 270 MEDD, what dose should be taken on month three of the slowest opioid tapering?",75 mg SR (60 mg+15 mg) Q8h
Module D: Patients Currently on Opioid Therapy,"Module D is for patients currently on opioid therapy. For patients currently on OT, look for factors that would require immediate attention and possible discontinuation of OT due to unacceptable risk. If there are factors that would require immediate attention, then admit/provide treatment to stabilize, including opioid tapering or SUD treatment as indicated. If there are no factors that would require immediate attention, then obtain a biopsychosocial assessment. If prior medical records including current prescriber, prior and current UDT, PDMP are available for review, then review data and re-assess risks and benefits of continuing OT and consider strength and number of risk factors. If unavailable, then address factors related to incomplete data prior to prescribing. If risks outweigh benefits of continuing OT, then proceed to module C. If risks do not outweigh benefits of continuing OT, then educate/re-educate on non-opioid management, self-management to improve function and quality of life, realistic expectations and limitations of medical treatment options, preferred treatment methods being non-pharmacotherapy and non-opioid pharmacotherapy, new information on risks and lack of benefits of long-term OT. If there is presence of prescribed opioid dose>90 mg MEDD or combined sedating medication that increases risk of adverse events (e.g., benzodiazepine) or patient non-participation in a comprehensive pain care plan or other indications for tapering, then proceed to module C. Otherwise, reassess and optimize preferred non-opioid treatments for chronic pain (e.g., physical and psychological treatments) recognizing that the patient is willing to continue to engage in a comprehensive treatment plan including non-opioid treatments. If the patient is experiencing clear functional improvement with minimal risk, then continue OT using the following approach: shortest duration, using lowest effective dose, continual assessment of improvement in pain and functional status and adverse effects. Then proceed to follow-up frequently based on patient risk factors. Otherwise, proceed to module C. ",What includes prior medical records?,"current prescriber, prior and current UDT, PDMP"
Paradigm Shift in Pain and Its Treatment,"The accumulation of evidence of harms and the absence of evidence of long-term benefits has warranted  a newly cautious approach to LOT that prioritizes safety. This approach coupled with the evidence of both the safety and efficacy for non-pharmacologic and non-opioid pharmacologic pain therapies has led to the  current transformation in the way in which pain is viewed and treated. The biopsychosocial model of pain recognizes pain as a complex multidimensional experience that requires multimodal and integrated care approaches. Within this context, non-pharmacologic treatments and non-opioid medications are the preferred treatments for chronic non-terminal pain. OT has a limited role, primarily in the treatment of severe acute pain, post-operative pain, and end-of-life pain.  ",How is pain recognized by the biopsychosocial model of pain?,as a complex multidimensional experience that requires multimodal and integrated care approaches
Pain Management Opioid Taper Decision Tool,"Opioids are associated with many risks and it may be determined that they are not indicated for pain management for a particular Veteran. Re-evaluate the risks and benefits of continuing opioid therapy when there is no pain reduction, no improvement in function or patient requests to discontinue therapy, severe unmanageable adverse effects, dosage indicates high risk of adverse events, concerns related to an increased risk of SUD (Substance use disorder) (e.g., behaviors, age < 30, family history, personal history of SUD), an overdose event involving opioids, non-adherence to the treatment plan or unsafe behaviors. Examples of severe unmanageable adverse effects are drowsiness, constipation, and cognitive impairment. Examples of dosage that indicate high risk of adverse events are doses of 90 MEDD (Morphine equivalent daily dose) and higher. Examples of unsafe behaviors are early refills, lost/stolen prescription, buying or borrowing opioids, failure to obtain or aberrant UDT. ",What to do when patient requests to discontinue therapy?,Re-evaluate the risks and benefits of continuing opioid therapy
Opioid Epidemic,"Concurrent with the increase in prescription opioid use, the rate of heroin overdose deaths increased  nearly four-fold between 2000 and 2013. According to a survey of patients entering SUD treatment for  heroin use, the prescription opioid epidemic has resulted in a marked shift in how and which opioids are  abused. In the 1960s, 80% of people entering treatment for heroin use started using heroin as their first opioid, while in the 2000s, 75% of people entering treatment for heroin use started using prescription opioids as their first opioid. This increase in the use of opioids, as well as associated morbidity, mortality, and other adverse outcomes, has called attention to the need for a paradigm shift in pain and in the way it is treated. Consult the VA/DoD Clinical Practice Guideline for the Management of Substance Use Disorders (VA/DoD SUD CPG) for further information. ",What percentage of people entering SUD treatment for heroin use started using prescription opioids as their first opioid in the 2000s?,75%
How to Use This Clinical Practice Guideline,"This guideline can be used in a variety of ways. This guideline can be used by general clinicians or specialists to study and consider the latest information on opioid therapy (OT) and how and whether to incorporate that information or recommendations into their practice. It can be used to provide specific information to guide a patient encounter, such as looking up the dosing of a medication used less frequently or the meaning of the urine drug testing (UDT) result. The section on tapering and its accompanying appendix can be used to assist in the development of a framework for guiding an individualized, informed discussion when tapering is being considered. Patients can examine the guideline to educate themselves and better understand their care. A health care system can use the CPG to assure that its clinicians and patients have the resources available to compassionately, effectively, and safely evaluate and deliver LOT in a timely, culturally sensitive manner. The guideline can also be used to suggest specific education for identified gaps. ",Who can use this guideline?,general clinicians or specialists
Recommendations,"We recommend assessing suicide risk and intervening when necessary when considering initiating or continuing long-term opioid therapy. We recommend evaluating benefits of continued opioid therapy and risk for opioid-related adverse events at least every three months. If prescribing opioids, we recommend prescribing the lowest dose of opioids as indicated by patient-specific risks and benefits. Note: There is no absolutely safe dose of opioids. ",When is assessing suicide risk and intervening recommended?,when considering initiating or continuing long-term opioid therapy
Module C: Tapering or Discontinuation of Opioid Therapy,"Module C is on tapering or discontinuation of opioid therapy. If there is indication to taper to reduced dose or taper to discontinuation, repeat comprehensive biopsychosocial assessment. Then see if the patient demonstrates signs or symptoms of SUD. If the patient demonstrates signs or symptoms of SUD, then see whether the patient is willing to engage in SUD therapy. If the patient is willing to engage in SUD therapy, then access specialized SUD care with monitoring and follow-up appropriate for the patient’s needs (e.g., MAT, treatment for comorbidities), see VA/DoD SUD CPG, exit algorithms and manage with non-opioid modalities. If the patient does not demonstrate signs or symptoms of SUD, then look for evidence of diversion. If there is evidence of diversion, then immediately discontinue opioid therapy. If there is  no evidence of diversion, then look for high risk or dangerous behavior. High risk or dangerous behavior includes overdose events, accidents, and threatening providers. If there is high risk or dangerous behavior or the patient is not willing to engage in SUD therapy or immediately after discontinuing OT, then address safety and misuse, assess for withdrawal symptoms and offer expedited taper, immediate discontinuation, or detox as indicated, continue to monitor for SUD and mental health comorbidities and offer treatment as indicated, exit algorithm and manage with non-opioid modalities. If there is no high risk or dangerous behavior, then develop an individualized tapering treatment plan (including pace of tapering, setting of care) based on patient and treatment characteristics. Follow-up 1 week to 1 month after each change in dosage and after discontinuation considering patient and treatment characteristics. At each interaction with patient, consider the following: educate on self-management and risks of OT, optimize whole person approach to pain care, optimize treatment of co-occurring mental health conditions, optimize non-opioid pain treatment modalities, reassess for OUD and readiness for OUD treatment as indicated. If the patient is resistant to taper or there is high risk or dangerous behaviors or there is an increase in patient distress, then repeat comprehensive biopsychosocial assessment. See if an SUD is identified. If an SUD is identified, then find out if the patient is willing to engage in SUD therapy. If an SUD is not identified and there is use of opioids to modulate emotions (i.e., “chemical coping”) or an untreated or undertreated psychiatric disorder, then engage the patient in appropriate behavioral and/or psychiatric treatment, ideally in an interdisciplinary setting. Consider reduced rate of taper or pause in taper for patients actively engaged in skills training. If the patient is fearful and/or anxious about taper and ability to function on lower dose or without opioids, then provide additional education about whole person pain care and LOT and reassurance that the patient will not be abandoned. Consider more frequent follow-up using the expanded care team, consider reduced rate of taper or pause in taper for patients actively engaged in skills training, reassess for OUD throughout the taper. Expanded care team includes registered nurse, clinical pharmacist, health coach, and mental health provider. If there is concern for diversion, then immediately discontinue opioid therapy. If there is no concern for diversion, then follow-up 1 week to 1 month after each change in dosage.",What to do if there is no high risk or dangerous behavior?,"develop an individualized tapering treatment plan (including pace of tapering, setting of care) based on patient and treatment characteristics"
Paradigm Shift in Pain and Its Treatment,"The accumulation of evidence of harms and the absence of evidence of long-term benefits has warranted  a newly cautious approach to LOT that prioritizes safety. This approach coupled with the evidence of both the safety and efficacy for non-pharmacologic and non-opioid pharmacologic pain therapies has led to the  current transformation in the way in which pain is viewed and treated. The biopsychosocial model of pain recognizes pain as a complex multidimensional experience that requires multimodal and integrated care approaches. Within this context, non-pharmacologic treatments and non-opioid medications are the preferred treatments for chronic non-terminal pain. OT has a limited role, primarily in the treatment of severe acute pain, post-operative pain, and end-of-life pain.  ","What is the role of OT in the treatment of severe acute pain, post-operative pain, and end-of-life pain?",limited
Pain Management Opioid Taper Decision Tool,"Use immediate-release (IR) opioids when starting therapy. Prescribe the lowest effective dose. When using opioids for acute pain, provide no more than needed for the condition. Follow up and review benefits and risks before starting and during therapy. If benefits do not outweigh harms, consider tapering opioids to lower doses or taper and discontinue.",What to follow up or review before starting opioid therapy?,benefits and risks
Paradigm Shift in Pain and Its Treatment,"A paradigm shift in the use of OT for chronic non-terminal pain has paralleled this transformation in pain  care. Prior to the 1980s, OT was rarely used outside of severe acute injury or post-surgical pain, primarily due to concern for tolerance, physical dependence, and addiction. As the hospice and palliative care  movement began defining end-of-life care in the U.S. during the 1980s and emphasizing the importance of  pain relief, OT increasingly became a mainstay for cancer and end-of-life pain. Efforts to destigmatize the use of prescription opioids for chronic non-terminal pain encompassed primary care providers and the  public. The efforts led to an unprecedented increase in opioid prescribing for chronic non-terminal pain.  Chronic pain management became synonymous with LOT in the 1990s and the first decade of the 2000s  with significant numbers of patients in pain clinics receiving LOT. Despite the absence of long-term safety or efficacy data, OT for chronic non-terminal pain became a mainstay of therapy. However, as observational and epidemiologic data of harm from LOT accumulated, a much more cautious approach to  OT for chronic non-terminal pain has emerged in the decade of the 2010s.",Which efforts led to an unprecedented increase in opioid prescribing for chronic non-terminal pain?,Efforts to destigmatize the use of prescription opioids for chronic non-terminal pain
Introduction,"In 2010, the VA and DoD published the Clinical Practice Guideline for Management of Opioid Therapy for Chronic Pain (2010 OT CPG), which was based on evidence reviewed through March 2009. Since the release of that guideline, there has been growing recognition of an epidemic of opioid misuse and opioid use disorder (OUD) in America, including among America’s Veterans. At the same time, there is a mounting body of research expanding detailing the lack of benefit and severe harms of LOT.",What was the basis for the Clinical Practice Guideline for Management of Opioid Therapy for Chronic Pain published in 2010?,evidence reviewed through March 2009
Module C: Tapering or Discontinuation of Opioid Therapy,"When safety allows, a gradual taper rate (5-10% reduction every 4 weeks) allows time for neurobiological, psychological, and behavioral adaptations. When there are concerns regarding risks of tapering (e.g., unmasked OUD, exacerbation of underlying mental health conditions) consider interdisciplinary services that may include mental health, SUD, primary care, and specialty pain care. Address concerns that may negatively impact taper (e.g., inability for adequate follow-up, inability to provide adequate treatment for co-occurring medical and mental health conditions and SUD). Patient and treatment characteristics to consider when determining tapering strategy are opioid dose, duration of therapy, type of opioid formulation, psychiatric, medical and SUD comorbidities and other patient risk factors. Other patient risk factors include non-adherence, high-risk medication-related behavior, strength of social support, and coping.",Which patient and treatment characteristics should be considered when determining tapering strategy?,"opioid dose, duration of therapy, type of opioid formulation, psychiatric, medical and SUD comorbidities and other patient risk factors"
Recommendations,"We recommend against opioid doses over 90 mg morphine equivalent daily dose for treating chronic pain. Note: For patients who are currently prescribed doses over 90 mg morphine equivalent daily dose, evaluate for tapering to reduced dose or to discontinuation. We recommend against prescribing long-acting opioids for acute pain, as an as-needed medication, or on initiation of long-term opioid therapy. ",What is the stance regarding prescribing long-acting opioids for acute pain?,recommend against
